dt DV_y_m08_100_m00 DV_z_m08_100_m00 DV_y_m08_090_m00 DV_z_m08_090_m00 DV_y_m08_080_m00 DV_z_m08_080_m00 DV_y_m08_070_m00 DV_z_m08_070_m00 DV_y_m08_060_m00 DV_z_m08_060_m00 DV_y_m07_100_m00 DV_z_m07_100_m00 DV_y_m07_090_m00 DV_z_m07_090_m00 DV_y_m07_080_m00 DV_z_m07_080_m00 DV_y_m07_070_m00 DV_z_m07_070_m00 DV_y_m07_060_m00 DV_z_m07_060_m00 DV_y_m06_100_m00 DV_z_m06_100_m00 DV_y_m06_090_m00 DV_z_m06_090_m00 DV_y_m06_080_m00 DV_z_m06_080_m00 DV_y_m06_070_m00 DV_z_m06_070_m00 DV_y_m06_060_m00 DV_z_m06_060_m00 DV_y_m05_100_m00 DV_z_m05_100_m00 DV_y_m05_090_m00 DV_z_m05_090_m00 DV_y_m05_080_m00 DV_z_m05_080_m00 DV_y_m05_070_m00 DV_z_m05_070_m00 DV_y_m05_060_m00 DV_z_m05_060_m00 DV_y_m04_100_m00 DV_z_m04_100_m00 DV_y_m04_090_m00 DV_z_m04_090_m00 DV_y_m04_080_m00 DV_z_m04_080_m00 DV_y_m04_070_m00 DV_z_m04_070_m00 DV_y_m04_060_m00 DV_z_m04_060_m00 DV_y_m03_100_m00 DV_z_m03_100_m00 DV_y_m03_090_m00 DV_z_m03_090_m00 DV_y_m03_080_m00 DV_z_m03_080_m00 DV_y_m03_070_m00 DV_z_m03_070_m00 DV_y_m03_060_m00 DV_z_m03_060_m00
-7.8292e+01 +6.8371e-03 +5.5467e-03 +3.0507e-03 +2.4085e-02 +1.5950e-04 +1.8351e-03 +4.7411e-03 +3.7688e-03 +7.4959e-03 +1.5592e-02 +1.2014e-03 +2.4856e-03 +1.5085e-05 +4.5342e-03 +1.9297e-03 +5.7585e-03 +5.4751e-05 +2.7891e-03 +2.3819e-02 +4.0845e-03 +1.7819e-04 +9.5104e-03 +2.1414e-03 +2.5042e-03 +2.8340e-04 +4.7769e-03 +8.7090e-03 +1.5958e-02 +2.0143e-02 +2.5117e-03 +1.6960e-03 +8.5134e-03 +8.1176e-05 +1.9960e-03 +1.2658e-03 +4.0198e-03 +4.4082e-04 +9.9154e-05 +1.5197e-02 +1.1315e-02 +9.6846e-04 +2.7262e-04 +6.9691e-04 +8.6043e-03 +1.4478e-03 +1.5094e-03 +1.2955e-02 +5.9014e-03 +7.4260e-03 +7.9522e-03 +1.2151e-03 +3.6208e-03 +6.3723e-04 +1.1135e-02 +1.5635e-03 +5.1080e-03 +4.2738e-03 +5.3917e-03 +1.1338e-02 +1.6948e-02
-7.6285e+01 +7.6786e-03 +1.1815e-02 +4.0370e-03 +2.5855e-02 +2.4375e-04 +3.5194e-03 +4.5128e-03 +1.7056e-02 +1.0513e-02 +1.6510e-02 +1.2813e-03 +1.8534e-03 +8.9476e-05 +4.2426e-03 +2.4805e-03 +7.3234e-03 +1.4960e-03 +3.9099e-03 +3.0896e-02 +6.2477e-03 +6.7287e-04 +1.3346e-02 +1.9021e-03 +2.0313e-03 +1.3734e-03 +4.0462e-03 +7.6372e-03 +1.3645e-02 +2.2799e-02 +5.1115e-03 +1.5118e-03 +7.6910e-03 +1.7079e-03 +2.6731e-03 +1.5815e-03 +5.3615e-03 +7.5521e-03 +7.0859e-03 +2.0023e-02 +1.0815e-02 +8.6751e-04 +9.4101e-03 +1.2538e-03 +7.9147e-03 +1.5641e-03 +9.2957e-03 +1.9796e-02 +9.8041e-03 +8.9630e-03 +9.1578e-03 +4.3814e-04 +6.6256e-03 +1.0408e-03 +8.0337e-03 +1.0211e-03 +1.0008e-02 +1.1937e-02 +6.8073e-04 +1.1787e-02 +2.5543e-02
-7.4278e+01 +8.3768e-03 +2.0563e-02 +4.0016e-03 +3.7486e-02 +9.7809e-04 +1.7584e-03 +5.7072e-03 +1.5837e-02 +1.0839e-02 +2.4916e-02 +1.3844e-03 +4.3691e-03 +5.3892e-04 +4.6306e-03 +2.9635e-03 +1.8303e-02 +8.1838e-03 +1.4519e-03 +3.3248e-02 +4.2877e-03 +7.7348e-04 +1.6246e-02 +2.7651e-03 +2.4702e-03 +1.7644e-03 +1.4470e-03 +1.0069e-02 +2.2888e-02 +2.9693e-02 +1.0402e-02 +2.6469e-03 +2.9346e-03 +1.9722e-03 +2.2228e-03 +1.4789e-03 +6.9273e-03 +1.0822e-02 +1.1271e-02 +2.6708e-02 +1.4529e-02 +6.8691e-04 +7.6300e-03 +1.4468e-03 +6.4486e-03 +1.5363e-03 +1.3771e-02 +2.3464e-02 +9.4787e-03 +9.1914e-03 +5.5767e-03 +7.7467e-04 +1.6205e-02 +4.7550e-04 +9.8427e-03 +3.0141e-03 +1.7422e-02 +1.9960e-02 +8.7307e-04 +1.5201e-02 +2.1932e-02
-7.2270e+01 +1.2020e-02 +2.1145e-02 +4.3205e-03 +4.0881e-02 +1.0515e-03 +8.0633e-03 +6.2772e-03 +1.4484e-02 +5.3201e-03 +3.3652e-02 +1.5342e-03 +4.0908e-03 +1.5354e-04 +4.6109e-03 +3.8402e-03 +1.9704e-02 +8.7503e-03 +6.2082e-03 +3.5424e-02 +1.6131e-03 +1.3155e-03 +1.4734e-02 +2.3347e-03 +2.5960e-03 +3.4378e-03 +5.3190e-03 +1.0479e-02 +2.2380e-02 +3.4558e-02 +1.4579e-02 +3.1011e-03 +2.8784e-03 +1.5119e-03 +1.0617e-02 +1.3960e-03 +1.3630e-02 +1.5645e-02 +1.2005e-02 +2.3645e-02 +1.6193e-02 +1.0018e-03 +3.6219e-03 +6.9373e-04 +4.1798e-03 +1.3577e-03 +9.9573e-03 +2.8606e-02 +1.7292e-02 +4.9966e-03 +3.7985e-03 +6.7996e-04 +2.4632e-02 +4.2230e-04 +7.6129e-03 +3.0827e-03 +2.5451e-02 +2.2856e-02 +6.1888e-04 +2.0321e-02 +2.4441e-02
-7.0262e+01 +1.1698e-02 +2.4946e-02 +3.9320e-03 +3.4776e-02 +1.5739e-03 +1.9394e-02 +5.6837e-03 +1.1030e-02 +6.6154e-03 +2.7537e-02 +1.2226e-03 +6.5717e-03 +1.2957e-03 +1.7617e-03 +4.3713e-03 +2.0405e-02 +1.0567e-02 +1.3105e-02 +3.6779e-02 +6.0928e-03 +1.7976e-03 +1.2306e-02 +1.3971e-03 +1.4653e-03 +4.2207e-03 +1.4422e-02 +1.5901e-02 +2.6286e-02 +3.3071e-02 +1.6470e-02 +3.1440e-03 +6.6346e-05 +4.6098e-04 +1.1902e-02 +2.1351e-03 +1.2216e-02 +1.7661e-02 +1.1546e-02 +2.5457e-02 +2.5683e-02 +1.3644e-03 +1.6981e-03 +3.4396e-04 +4.4111e-03 +1.7730e-03 +8.2128e-03 +3.1891e-02 +2.2007e-02 +6.7108e-03 +7.7279e-03 +1.4662e-03 +3.2136e-02 +4.2599e-04 +5.6373e-03 +4.3540e-03 +3.6751e-02 +1.8461e-02 +7.8872e-03 +1.6477e-02 +1.9903e-02
-6.8255e+01 +1.2595e-02 +2.1005e-02 +4.6350e-03 +5.2290e-02 +2.7472e-03 +1.2639e-02 +1.2140e-02 +1.3182e-02 +8.4258e-03 +4.3778e-02 +9.6429e-04 +1.5528e-02 +1.0224e-03 +2.2375e-03 +5.0025e-03 +1.0245e-02 +6.2364e-03 +9.3703e-03 +4.0137e-02 +3.9004e-03 +2.8537e-03 +2.1308e-02 +1.7750e-03 +9.9361e-04 +4.6954e-03 +2.4732e-02 +1.8628e-02 +2.2582e-02 +3.7295e-02 +1.6172e-02 +4.5698e-03 +3.6263e-03 +2.0120e-03 +1.5865e-02 +2.3363e-03 +8.0213e-03 +1.5478e-02 +1.0439e-02 +3.1851e-02 +3.1525e-02 +2.6689e-03 +3.6537e-04 +2.8674e-05 +8.1620e-03 +2.7705e-03 +3.1779e-04 +4.3560e-02 +2.6537e-02 +3.6351e-04 +1.4168e-02 +1.1066e-03 +3.4270e-02 +6.1002e-04 +1.1926e-02 +4.1251e-03 +3.5719e-02 +2.1702e-02 +5.3507e-03 +3.8008e-02 +3.5672e-02
-6.6248e+01 +1.2081e-02 +1.0308e-03 +4.3990e-03 +3.6036e-02 +3.5222e-03 +1.7172e-02 +1.5850e-02 +3.1426e-02 +8.1814e-03 +4.3128e-02 +1.7013e-03 +2.1743e-02 +1.7690e-03 +2.0936e-03 +5.2097e-03 +9.6122e-03 +1.5521e-02 +5.3736e-04 +4.2089e-02 +5.0440e-03 +2.2172e-03 +3.0626e-02 +2.1249e-03 +5.6001e-03 +4.9562e-03 +2.7497e-02 +1.1524e-02 +2.7251e-02 +3.8115e-02 +2.5170e-02 +5.8858e-03 +1.3193e-02 +2.0778e-03 +1.4311e-02 +3.4427e-03 +1.0974e-02 +8.5005e-03 +1.3891e-02 +3.4157e-02 +3.7837e-02 +3.2190e-03 +3.4528e-03 +3.2033e-04 +1.7183e-02 +2.8343e-03 +5.4807e-03 +5.4510e-02 +3.1017e-02 +4.0020e-03 +1.3268e-02 +6.8135e-04 +3.4854e-02 +1.1808e-03 +1.9804e-03 +7.5479e-03 +2.0127e-02 +2.4106e-02 +7.3501e-04 +4.5306e-02 +3.4411e-02
-6.4240e+01 +1.0167e-02 +5.4402e-04 +4.9471e-03 +3.7106e-02 +4.5285e-03 +2.0136e-02 +1.3072e-02 +2.9508e-02 +1.2488e-02 +4.7176e-02 +1.9014e-03 +2.1907e-02 +2.4763e-03 +7.0144e-03 +4.4913e-03 +6.8133e-04 +3.5804e-02 +6.0301e-04 +4.5350e-02 +8.9624e-04 +2.2491e-03 +4.1215e-02 +2.6888e-03 +1.5540e-03 +5.9807e-03 +2.4756e-02 +8.9410e-03 +2.1522e-02 +3.9463e-02 +1.9193e-02 +5.0164e-03 +1.2763e-02 +2.7830e-03 +2.7860e-02 +4.5741e-03 +1.8253e-02 +1.5147e-02 +2.9260e-02 +3.0745e-02 +3.0533e-02 +5.5533e-03 +3.1516e-03 +1.3928e-04 +1.4789e-02 +2.7658e-03 +1.1246e-02 +5.1199e-02 +3.9410e-02 +1.8440e-02 +9.3605e-03 +1.0297e-03 +4.3479e-02 +1.4534e-03 +1.1869e-02 +7.9686e-03 +7.3930e-03 +3.8870e-02 +1.3254e-02 +4.8629e-02 +3.7576e-02
-6.2233e+01 +1.2530e-02 +2.7041e-03 +5.0856e-03 +4.4947e-02 +6.0761e-03 +1.4590e-02 +1.5540e-02 +3.1762e-02 +8.0014e-03 +4.3057e-02 +3.2220e-03 +2.5848e-02 +3.0673e-03 +2.0281e-02 +3.5349e-03 +2.6832e-03 +3.6950e-02 +4.3090e-03 +5.0752e-02 +8.0229e-03 +1.7576e-03 +3.7965e-02 +3.5308e-03 +2.5230e-03 +5.0774e-03 +3.3568e-02 +7.3202e-03 +2.4074e-02 +5.0285e-02 +2.3804e-02 +5.8672e-03 +1.2172e-02 +2.9237e-03 +4.2338e-02 +5.6483e-03 +1.8126e-02 +5.1093e-03 +2.3792e-02 +4.6641e-02 +3.4732e-02 +6.8140e-03 +1.8471e-02 +1.5685e-03 +7.5645e-03 +4.9511e-03 +1.5550e-02 +6.2315e-02 +3.8601e-02 +2.9475e-02 +8.0024e-03 +2.4150e-03 +5.7291e-02 +3.5652e-05 +3.1930e-02 +1.1115e-02 +5.5783e-03 +2.8550e-02 +1.5008e-02 +5.7452e-02 +3.9451e-02
-6.0225e+01 +1.5139e-02 +1.7339e-02 +4.8048e-03 +2.2713e-02 +7.1202e-03 +3.7614e-02 +1.0838e-02 +3.2074e-02 +1.0039e-02 +4.1883e-02 +3.2319e-03 +3.0702e-02 +4.9313e-03 +7.6427e-03 +3.7667e-03 +2.6263e-03 +3.4991e-02 +3.8680e-03 +5.5008e-02 +1.7338e-02 +1.4783e-03 +2.7048e-02 +3.1590e-03 +1.2944e-02 +5.7040e-03 +3.7012e-02 +5.2360e-05 +2.9994e-02 +4.8586e-02 +2.4876e-02 +6.1013e-03 +5.1941e-03 +1.3812e-04 +3.8344e-02 +5.4047e-03 +1.8041e-02 +9.3117e-03 +2.5675e-02 +4.7970e-02 +2.7375e-02 +8.8365e-03 +1.9018e-02 +1.8655e-03 +4.6393e-03 +5.9832e-03 +2.3899e-02 +6.5291e-02 +4.6672e-02 +2.6485e-02 +1.5320e-02 +3.4878e-03 +6.7001e-02 +2.5443e-03 +3.1164e-02 +1.3275e-02 +1.1866e-02 +1.8442e-02 +2.5507e-03 +5.9276e-02 +2.6286e-02
