theta R_M2P T_M2P R_P2M T_P2M
0.000e+00 2.077e-03 9.979e-01 2.077e-03 9.979e-01
2.513e-03 2.077e-03 9.979e-01 2.077e-03 9.979e-01
5.025e-03 2.077e-03 9.979e-01 2.077e-03 9.979e-01
7.538e-03 2.077e-03 9.979e-01 2.077e-03 9.979e-01
1.005e-02 2.077e-03 9.979e-01 2.077e-03 9.979e-01
1.256e-02 2.077e-03 9.979e-01 2.077e-03 9.979e-01
1.508e-02 2.077e-03 9.979e-01 2.077e-03 9.979e-01
1.759e-02 2.077e-03 9.979e-01 2.077e-03 9.979e-01
2.010e-02 2.077e-03 9.979e-01 2.077e-03 9.979e-01
2.261e-02 2.077e-03 9.979e-01 2.077e-03 9.979e-01
2.513e-02 2.077e-03 9.979e-01 2.077e-03 9.979e-01
2.764e-02 2.077e-03 9.979e-01 2.077e-03 9.979e-01
3.015e-02 2.077e-03 9.979e-01 2.077e-03 9.979e-01
3.266e-02 2.077e-03 9.979e-01 2.077e-03 9.979e-01
3.518e-02 2.077e-03 9.979e-01 2.077e-03 9.979e-01
3.769e-02 2.077e-03 9.979e-01 2.077e-03 9.979e-01
4.020e-02 2.077e-03 9.979e-01 2.077e-03 9.979e-01
4.271e-02 2.077e-03 9.979e-01 2.077e-03 9.979e-01
4.523e-02 2.077e-03 9.979e-01 2.077e-03 9.979e-01
4.774e-02 2.077e-03 9.979e-01 2.077e-03 9.979e-01
5.025e-02 2.077e-03 9.979e-01 2.077e-03 9.979e-01
5.276e-02 2.077e-03 9.979e-01 2.077e-03 9.979e-01
5.528e-02 2.077e-03 9.979e-01 2.077e-03 9.979e-01
5.779e-02 2.077e-03 9.979e-01 2.077e-03 9.979e-01
6.030e-02 2.077e-03 9.979e-01 2.077e-03 9.979e-01
6.281e-02 2.077e-03 9.979e-01 2.077e-03 9.979e-01
6.533e-02 2.077e-03 9.979e-01 2.078e-03 9.979e-01
6.784e-02 2.078e-03 9.979e-01 2.078e-03 9.979e-01
7.035e-02 2.078e-03 9.979e-01 2.078e-03 9.979e-01
7.286e-02 2.078e-03 9.979e-01 2.078e-03 9.979e-01
7.538e-02 2.078e-03 9.979e-01 2.078e-03 9.979e-01
7.789e-02 2.078e-03 9.979e-01 2.079e-03 9.979e-01
8.040e-02 2.079e-03 9.979e-01 2.079e-03 9.979e-01
8.291e-02 2.079e-03 9.979e-01 2.079e-03 9.979e-01
8.543e-02 2.079e-03 9.979e-01 2.080e-03 9.979e-01
8.794e-02 2.080e-03 9.979e-01 2.080e-03 9.979e-01
9.045e-02 2.080e-03 9.979e-01 2.081e-03 9.979e-01
9.296e-02 2.080e-03 9.979e-01 2.081e-03 9.979e-01
9.548e-02 2.081e-03 9.979e-01 2.082e-03 9.979e-01
9.799e-02 2.081e-03 9.979e-01 2.082e-03 9.979e-01
1.005e-01 2.082e-03 9.979e-01 2.083e-03 9.979e-01
1.030e-01 2.082e-03 9.979e-01 2.084e-03 9.979e-01
1.055e-01 2.083e-03 9.979e-01 2.085e-03 9.979e-01
1.080e-01 2.084e-03 9.979e-01 2.085e-03 9.979e-01
1.106e-01 2.085e-03 9.979e-01 2.086e-03 9.979e-01
1.131e-01 2.085e-03 9.979e-01 2.087e-03 9.979e-01
1.156e-01 2.086e-03 9.979e-01 2.088e-03 9.979e-01
1.181e-01 2.087e-03 9.979e-01 2.090e-03 9.979e-01
1.206e-01 2.088e-03 9.979e-01 2.091e-03 9.979e-01
1.231e-01 2.089e-03 9.979e-01 2.092e-03 9.979e-01
1.256e-01 2.090e-03 9.979e-01 2.094e-03 9.979e-01
1.281e-01 2.092e-03 9.979e-01 2.095e-03 9.979e-01
1.307e-01 2.093e-03 9.979e-01 2.097e-03 9.979e-01
1.332e-01 2.095e-03 9.979e-01 2.099e-03 9.979e-01
1.357e-01 2.096e-03 9.979e-01 2.101e-03 9.979e-01
1.382e-01 2.098e-03 9.979e-01 2.103e-03 9.979e-01
1.407e-01 2.100e-03 9.979e-01 2.105e-03 9.979e-01
1.432e-01 2.102e-03 9.979e-01 2.108e-03 9.979e-01
1.457e-01 2.104e-03 9.979e-01 2.111e-03 9.979e-01
1.482e-01 2.106e-03 9.979e-01 2.113e-03 9.979e-01
1.508e-01 2.108e-03 9.979e-01 2.117e-03 9.979e-01
1.533e-01 2.111e-03 9.979e-01 2.120e-03 9.979e-01
1.558e-01 2.113e-03 9.979e-01 2.123e-03 9.979e-01
1.583e-01 2.116e-03 9.979e-01 2.127e-03 9.979e-01
1.608e-01 2.119e-03 9.979e-01 2.131e-03 9.979e-01
1.633e-01 2.123e-03 9.979e-01 2.135e-03 9.979e-01
1.658e-01 2.126e-03 9.979e-01 2.140e-03 9.979e-01
1.683e-01 2.130e-03 9.979e-01 2.145e-03 9.979e-01
1.709e-01 2.134e-03 9.979e-01 2.150e-03 9.979e-01
1.734e-01 2.138e-03 9.979e-01 2.155e-03 9.978e-01
1.759e-01 2.142e-03 9.979e-01 2.161e-03 9.978e-01
1.784e-01 2.147e-03 9.979e-01 2.168e-03 9.978e-01
1.809e-01 2.152e-03 9.978e-01 2.174e-03 9.978e-01
1.834e-01 2.157e-03 9.978e-01 2.181e-03 9.978e-01
1.859e-01 2.163e-03 9.978e-01 2.189e-03 9.978e-01
1.884e-01 2.169e-03 9.978e-01 2.197e-03 9.978e-01
1.910e-01 2.176e-03 9.978e-01 2.206e-03 9.978e-01
1.935e-01 2.182e-03 9.978e-01 2.215e-03 9.978e-01
1.960e-01 2.189e-03 9.978e-01 2.225e-03 9.978e-01
1.985e-01 2.197e-03 9.978e-01 2.236e-03 9.978e-01
2.010e-01 2.205e-03 9.978e-01 2.247e-03 9.978e-01
2.035e-01 2.214e-03 9.978e-01 2.259e-03 9.977e-01
2.060e-01 2.223e-03 9.978e-01 2.272e-03 9.977e-01
2.085e-01 2.233e-03 9.978e-01 2.285e-03 9.977e-01
2.111e-01 2.243e-03 9.978e-01 2.300e-03 9.977e-01
2.136e-01 2.254e-03 9.977e-01 2.315e-03 9.977e-01
2.161e-01 2.265e-03 9.977e-01 2.332e-03 9.977e-01
2.186e-01 2.277e-03 9.977e-01 2.349e-03 9.977e-01
2.211e-01 2.290e-03 9.977e-01 2.368e-03 9.976e-01
2.236e-01 2.304e-03 9.977e-01 2.388e-03 9.976e-01
