f,raw,fit
+2.00000e+00,+2.04963e-06,+3.42816e-08
+4.00000e+00,+3.30770e-08,+3.42595e-08
+6.00000e+00,+4.30919e-08,+3.42226e-08
+8.00000e+00,+2.97767e-08,+3.41712e-08
+1.00000e+01,+4.66510e-08,+3.41053e-08
+1.20000e+01,+3.00676e-08,+3.40252e-08
+1.40000e+01,+4.73402e-08,+3.39309e-08
+1.60000e+01,+5.24738e-08,+3.38228e-08
+1.80000e+01,+4.85873e-08,+3.37010e-08
+2.00000e+01,+2.14276e-08,+3.35660e-08
+2.20000e+01,+4.40557e-08,+3.34181e-08
+2.40000e+01,+2.84645e-08,+3.32575e-08
+2.60000e+01,+3.54769e-08,+3.30847e-08
+2.80000e+01,+2.18630e-08,+3.29001e-08
+3.00000e+01,+3.24290e-08,+3.27041e-08
+3.20000e+01,+4.62263e-08,+3.24972e-08
+3.40000e+01,+3.00249e-08,+3.22798e-08
+3.60000e+01,+3.13062e-08,+3.20523e-08
+3.80000e+01,+3.33659e-08,+3.18153e-08
+4.00000e+01,+3.44735e-08,+3.15693e-08
+4.20000e+01,+2.39085e-08,+3.13147e-08
+4.40000e+01,+2.11560e-08,+3.10520e-08
+4.60000e+01,+3.35434e-08,+3.07819e-08
+4.80000e+01,+3.60009e-08,+3.05047e-08
+5.00000e+01,+3.20482e-08,+3.02209e-08
+5.20000e+01,+3.59585e-08,+2.99312e-08
+5.40000e+01,+2.45809e-08,+2.96359e-08
+5.60000e+01,+2.42474e-08,+2.93355e-08
+5.80000e+01,+4.10911e-08,+2.90306e-08
+6.00000e+01,+1.53743e-08,+2.87216e-08
+6.20000e+01,+2.61869e-08,+2.84090e-08
+6.40000e+01,+3.26316e-08,+2.80932e-08
+6.60000e+01,+2.94914e-08,+2.77746e-08
+6.80000e+01,+2.24036e-08,+2.74537e-08
+7.00000e+01,+2.96125e-08,+2.71309e-08
+7.20000e+01,+2.00587e-08,+2.68065e-08
+7.40000e+01,+2.16475e-08,+2.64810e-08
+7.60000e+01,+2.30778e-08,+2.61548e-08
+7.80000e+01,+1.92924e-08,+2.58280e-08
+8.00000e+01,+2.66041e-08,+2.55012e-08
+8.20000e+01,+2.60554e-08,+2.51746e-08
+8.40000e+01,+1.42562e-08,+2.48485e-08
+8.60000e+01,+1.72985e-08,+2.45231e-08
+8.80000e+01,+1.71913e-08,+2.41988e-08
+9.00000e+01,+2.06892e-08,+2.38758e-08
+9.20000e+01,+2.34266e-08,+2.35544e-08
+9.40000e+01,+2.27255e-08,+2.32347e-08
+9.60000e+01,+2.04117e-08,+2.29170e-08
+9.80000e+01,+2.15728e-08,+2.26014e-08
+1.00000e+02,+2.43095e-08,+2.22881e-08
+1.02000e+02,+4.79865e-08,+2.19774e-08
+1.04000e+02,+3.22773e-08,+2.16693e-08
+1.06000e+02,+2.49501e-08,+2.13640e-08
+1.08000e+02,+1.49429e-08,+2.10616e-08
+1.10000e+02,+2.03222e-08,+2.07622e-08
+1.12000e+02,+1.22216e-08,+2.04659e-08
+1.14000e+02,+1.88477e-08,+2.01729e-08
+1.16000e+02,+2.54235e-08,+1.98831e-08
+1.18000e+02,+1.68507e-08,+1.95968e-08
+1.20000e+02,+2.16625e-08,+1.93139e-08
+1.22000e+02,+1.38084e-08,+1.90345e-08
+1.24000e+02,+1.58971e-08,+1.87586e-08
+1.26000e+02,+1.38914e-08,+1.84863e-08
+1.28000e+02,+1.63305e-08,+1.82177e-08
+1.30000e+02,+1.27636e-08,+1.79527e-08
+1.32000e+02,+1.35297e-08,+1.76913e-08
+1.34000e+02,+1.51215e-08,+1.74337e-08
+1.36000e+02,+9.34394e-09,+1.71797e-08
+1.38000e+02,+1.67233e-08,+1.69294e-08
+1.40000e+02,+1.17790e-08,+1.66829e-08
+1.42000e+02,+1.27675e-08,+1.64399e-08
+1.44000e+02,+1.37275e-08,+1.62007e-08
+1.46000e+02,+1.27358e-08,+1.59652e-08
+1.48000e+02,+1.47357e-08,+1.57332e-08
+1.50000e+02,+2.67716e-08,+1.55049e-08
+1.52000e+02,+1.87497e-08,+1.52802e-08
+1.54000e+02,+2.36167e-08,+1.50591e-08
+1.56000e+02,+1.73520e-08,+1.48415e-08
+1.58000e+02,+1.62027e-08,+1.46274e-08
+1.60000e+02,+1.85190e-08,+1.44168e-08
+1.62000e+02,+1.96654e-08,+1.42096e-08
+1.64000e+02,+1.27485e-08,+1.40059e-08
+1.66000e+02,+1.44138e-08,+1.38055e-08
+1.68000e+02,+1.25076e-08,+1.36084e-08
+1.70000e+02,+1.10480e-08,+1.34146e-08
+1.72000e+02,+8.82426e-09,+1.32241e-08
+1.74000e+02,+7.54369e-09,+1.30367e-08
+1.76000e+02,+1.08788e-08,+1.28526e-08
+1.78000e+02,+1.87769e-08,+1.26715e-08
+1.80000e+02,+7.27076e-09,+1.24935e-08
+1.82000e+02,+1.79175e-08,+1.23185e-08
+1.84000e+02,+1.07722e-08,+1.21465e-08
+1.86000e+02,+1.24284e-08,+1.19775e-08
+1.88000e+02,+1.15148e-08,+1.18113e-08
+1.90000e+02,+1.47089e-08,+1.16480e-08
+1.92000e+02,+1.12393e-08,+1.14875e-08
+1.94000e+02,+1.03334e-08,+1.13297e-08
+1.96000e+02,+1.73506e-08,+1.11746e-08
+1.98000e+02,+4.40236e-09,+1.10222e-08
+2.00000e+02,+1.15836e-08,+1.08724e-08
+2.02000e+02,+1.79856e-08,+1.07252e-08
+2.04000e+02,+1.22337e-08,+1.05805e-08
+2.06000e+02,+1.49581e-08,+1.04383e-08
+2.08000e+02,+9.20391e-09,+1.02985e-08
+2.10000e+02,+8.53691e-09,+1.01611e-08
+2.12000e+02,+1.02484e-08,+1.00261e-08
+2.14000e+02,+8.70272e-09,+9.89341e-09
+2.16000e+02,+1.11853e-08,+9.76297e-09
+2.18000e+02,+8.15908e-09,+9.63476e-09
+2.20000e+02,+4.49982e-09,+9.50873e-09
+2.22000e+02,+1.05761e-08,+9.38486e-09
+2.24000e+02,+9.68000e-09,+9.26309e-09
+2.26000e+02,+4.93869e-09,+9.14339e-09
+2.28000e+02,+9.48261e-09,+9.02573e-09
+2.30000e+02,+8.65447e-09,+8.91005e-09
+2.32000e+02,+1.17444e-08,+8.79633e-09
+2.34000e+02,+1.68442e-08,+8.68453e-09
+2.36000e+02,+8.16281e-09,+8.57461e-09
+2.38000e+02,+8.46128e-09,+8.46654e-09
+2.40000e+02,+8.60170e-09,+8.36028e-09
+2.42000e+02,+7.64720e-09,+8.25580e-09
+2.44000e+02,+1.79488e-08,+8.15306e-09
+2.46000e+02,+7.42916e-09,+8.05203e-09
+2.48000e+02,+9.74894e-09,+7.95269e-09
+2.50000e+02,+7.91958e-09,+7.85498e-09
+2.52000e+02,+7.48262e-09,+7.75890e-09
+2.54000e+02,+6.65725e-09,+7.66440e-09
+2.56000e+02,+9.26934e-09,+7.57145e-09
+2.58000e+02,+9.26611e-09,+7.48002e-09
+2.60000e+02,+7.55812e-09,+7.39010e-09
+2.62000e+02,+7.54196e-09,+7.30163e-09
+2.64000e+02,+1.15277e-08,+7.21461e-09
+2.66000e+02,+9.43714e-09,+7.12900e-09
+2.68000e+02,+7.13416e-09,+7.04477e-09
+2.70000e+02,+1.79425e-08,+6.96191e-09
+2.72000e+02,+6.05645e-09,+6.88037e-09
