wl	n	k
0.034	0.842171	0.090738197
0.036	0.83072	0.10934279
0.038	0.819753	0.13025372
0.04	0.809997	0.15338756
0.042	0.802291	0.17980019
0.044	0.797737	0.20882868
0.046	0.797007	0.24142939
0.048	0.805579	0.27656049
0.05	0.820742	0.29977136
0.052	0.830957	0.31534805
0.054	0.83524	0.33097115
0.056	0.835295	0.34977611
0.0579	0.831628	0.37392986
0.06	0.830901	0.41189844
0.0619	0.840575	0.45581661
0.064	0.866994	0.50325737
0.0661	0.903527	0.53553782
0.0681	0.941801	0.56336536
0.07	0.981692	0.57914878
0.0719	1.020921	0.585855
0.074	1.049744	0.58048385
0.076	1.068724	0.585855
0.078	1.087685	0.5981225
0.08	1.111682	0.6134655
0.082	1.140628	0.62920207
0.0839	1.173382	0.64534232
0.0859	1.214969	0.65734013
0.0879	1.259495	0.65734013
0.0899	1.302663	0.65281503
0.092	1.34676	0.64385807
0.094	1.387639	0.62920207
0.0959	1.425425	0.60504844
0.0979	1.455868	0.57516194
0.1	1.476628	0.54298789
0.102	1.493473	0.51854941
0.104	1.506677	0.49293555
0.106	1.516305	0.4707498
0.108	1.523589	0.4485286
0.11	1.528933	0.43031862
0.112	1.535363	0.41475358
0.114	1.543211	0.39883214
0.116	1.54807	0.3826398
0.118	1.553435	0.37050165
0.12	1.56087	0.35957554
0.122	1.570304	0.34897165
0.124	1.584638	0.33868046
0.126	1.606068	0.32195127
0.128	1.626822	0.28760084
0.13	1.633849	0.23921596
0.132	1.61942	0.18697784
0.134	1.586268	0.14886416
0.136	1.536403	0.13328772
0.138	1.496271	0.14216417
0.14	1.471129	0.1677993
0.142	1.461485	0.19265937
0.144	1.460977	0.21666569
0.146	1.469275	0.24087412
0.148	1.489551	0.26411322
0.15	1.521276	0.27719803
0.152	1.559942	0.27719803
0.154	1.596861	0.25810127
0.156	1.620422	0.23377074
0.158	1.641473	0.20220419
0.16	1.650184	0.16702833
0.162	1.652917	0.13514194
0.164	1.6531	0.10394178
0.166	1.647245	0.072408599
0.168	1.635062	0.039975154
0.17	1.605555	0.0039975154
0.172	1.568183	0.0020035037
0.174	1.549412	0.00118247
0.175	1.543062	0.00083905445
0.18	1.513343	5.9950132e-05
0.185	1.491881	1.2495112e-06
0.19	1.475183	3.6223478e-07
0.195	1.462543	1.8496525e-07
0.2	1.451724	1.1010072e-07
0.205	1.442296	6.711044900000001e-08
0.21	1.434685	3.8440599e-08
0.215	1.427828	1.9988957e-08
0.22	1.421603	1.2699603e-08
0.225	1.415921	1.1582176e-08
0.23	1.410702	1.1010072e-08
0.235	1.406358	1.0710017e-08
0.24	1.402321	1.0490354e-08
0.245	1.398535	9.9035328e-09
0.25	1.394993	9.3065806e-09
0.255	1.391674	8.6057781e-09
0.26	1.388881	7.9944786e-09
0.265	1.386239	7.443722e-09
0.27	1.383726	6.8515707e-09
0.275	1.381341	6.2920207e-09
0.28	1.379072	5.7914878e-09
0.285	1.376902	5.4049309e-09
0.29	1.375086	4.7950169e-09
0.295	1.373098	4.4034203e-09
0.3	1.371437	4.1475358e-09
0.305	1.369839	3.826398e-09
0.31	1.368287	3.5464198e-09
0.315	1.366812	3.3249885e-09
0.32	1.365376	3.189996e-09
0.325	1.36399	3.0816985e-09
0.33	1.362616	2.9839404e-09
0.335	1.361513	2.8826382e-09
0.34	1.360441	2.7656049e-09
0.345	1.359231	2.6533231e-09
0.35	1.358224	2.5280761000000002e-09
0.355	1.357247	2.4198595000000002e-09
0.36	1.356295	2.3162751e-09
0.365	1.35537	2.2171248e-09
0.37	1.35447	2.1173373e-09
0.375	1.353594	2.0313752e-09
0.38	1.35274	1.9399482e-09
0.385	1.352046	1.8398827e-09
0.39	1.351231	1.7611248e-09
0.395	1.350438	1.6626091e-09
0.4	1.349793	1.5804841e-09
0.405	1.349159	1.4886416e-09
0.41	1.348417	1.4216417e-09
0.415	1.347811	1.3390295e-09
0.42	1.347219	1.2583172e-09
0.425	1.346636	1.1689344e-09
0.43	1.346066	1.088404e-09
0.435	1.345505	1.0180993e-09
0.44	1.344956	9.3926933e-10
0.445	1.344418	8.685406399999999e-10
0.45	1.343889	8.087050299999999e-10
0.455	1.343368	7.794533799999999e-10
0.46	1.342858	7.599589699999999e-10
0.465	1.342455	7.4953194e-10
0.47	1.341961	7.291051099999999e-10
0.475	1.341475	7.0111643e-10
0.48	1.341093	7.0923497e-10
0.485	1.34062	7.157974399999999e-10
0.49	1.340248	7.341590299999999e-10
0.495	1.339791	7.848562899999999e-10
0.5	1.33943	9.242514599999999e-10
0.505	1.339073	1.0784255e-09
0.511	1.338635	1.2670395e-09
0.515	1.338288	1.4614708e-09
0.52	1.337944	1.5696042e-09
0.525	1.337607	1.6397972e-09
0.53	1.337273	1.7570744e-09
0.535	1.336943	1.8870793e-09
0.54	1.336615	2.0979259e-09
0.545	1.336292	2.2687683e-09
0.55	1.335972	2.4422501e-09
0.555	1.335656	2.6594397e-09
0.56	1.335344	2.8693937e-09
0.565	1.335035	3.131772e-09
0.57	1.334729	3.4339198e-09
0.575	1.334425	3.8440599000000004e-09
0.579	1.3342	4.4339434e-09
0.585	1.333902	5.2214382e-09
