wl n k a
3.40000e+01 8.42171e-01 9.07382e-02 3.35368e+07
3.60000e+01 8.30720e-01 1.09343e-01 3.81678e+07
3.80000e+01 8.19753e-01 1.30254e-01 4.30741e+07
4.00000e+01 8.09997e-01 1.53388e-01 4.81881e+07
4.20000e+01 8.02291e-01 1.79800e-01 5.37961e+07
4.40000e+01 7.97737e-01 2.08829e-01 5.96413e+07
4.60000e+01 7.97007e-01 2.41429e-01 6.59542e+07
4.80000e+01 8.05579e-01 2.76560e-01 7.24034e+07
5.00000e+01 8.20742e-01 2.99771e-01 7.53408e+07
5.20000e+01 8.30957e-01 3.15348e-01 7.62073e+07
5.40000e+01 8.35240e-01 3.30971e-01 7.70205e+07
5.60000e+01 8.35295e-01 3.49776e-01 7.84896e+07
5.79000e+01 8.31628e-01 3.73930e-01 8.11562e+07
6.00000e+01 8.30901e-01 4.11898e-01 8.62678e+07
6.19000e+01 8.40575e-01 4.55817e-01 9.25357e+07
6.40000e+01 8.66994e-01 5.03257e-01 9.88144e+07
6.61000e+01 9.03527e-01 5.35538e-01 1.01812e+08
6.81000e+01 9.41801e-01 5.63365e-01 1.03957e+08
7.00000e+01 9.81692e-01 5.79149e-01 1.03969e+08
7.19000e+01 1.02092e+00 5.85855e-01 1.02393e+08
7.40000e+01 1.04974e+00 5.80484e-01 9.85753e+07
7.60000e+01 1.06872e+00 5.85855e-01 9.68694e+07
7.80000e+01 1.08769e+00 5.98123e-01 9.63619e+07
8.00000e+01 1.11168e+00 6.13465e-01 9.63629e+07
8.20000e+01 1.14063e+00 6.29202e-01 9.64242e+07
8.39000e+01 1.17338e+00 6.45342e-01 9.66581e+07
8.59000e+01 1.21497e+00 6.57340e-01 9.61627e+07
8.79000e+01 1.25950e+00 6.57340e-01 9.39747e+07
8.99000e+01 1.30266e+00 6.52815e-01 9.12516e+07
9.20000e+01 1.34676e+00 6.43858e-01 8.79452e+07
9.40000e+01 1.38764e+00 6.29202e-01 8.41147e+07
9.59000e+01 1.42542e+00 6.05048e-01 7.92832e+07
9.79000e+01 1.45587e+00 5.75162e-01 7.38274e+07
1.00000e+02 1.47663e+00 5.42988e-01 6.82339e+07
1.02000e+02 1.49347e+00 5.18549e-01 6.38851e+07
1.04000e+02 1.50668e+00 4.92936e-01 5.95616e+07
1.06000e+02 1.51631e+00 4.70750e-01 5.58077e+07
1.08000e+02 1.52359e+00 4.48529e-01 5.21887e+07
1.10000e+02 1.52893e+00 4.30319e-01 4.91595e+07
1.12000e+02 1.53536e+00 4.14754e-01 4.65352e+07
1.14000e+02 1.54321e+00 3.98832e-01 4.39638e+07
1.16000e+02 1.54807e+00 3.82640e-01 4.14517e+07
1.18000e+02 1.55343e+00 3.70502e-01 3.94564e+07
1.20000e+02 1.56087e+00 3.59576e-01 3.76547e+07
1.22000e+02 1.57030e+00 3.48972e-01 3.59451e+07
1.24000e+02 1.58464e+00 3.38680e-01 3.43225e+07
1.26000e+02 1.60607e+00 3.21951e-01 3.21092e+07
1.28000e+02 1.62682e+00 2.87601e-01 2.82351e+07
1.30000e+02 1.63385e+00 2.39216e-01 2.31237e+07
1.32000e+02 1.61942e+00 1.86978e-01 1.78002e+07
1.34000e+02 1.58627e+00 1.48864e-01 1.39603e+07
1.36000e+02 1.53640e+00 1.33288e-01 1.23158e+07
1.38000e+02 1.49627e+00 1.42164e-01 1.29456e+07
1.40000e+02 1.47113e+00 1.67799e-01 1.50616e+07
1.42000e+02 1.46148e+00 1.92659e-01 1.70495e+07
1.44000e+02 1.46098e+00 2.16666e-01 1.89076e+07
1.46000e+02 1.46928e+00 2.40874e-01 2.07323e+07
1.48000e+02 1.48955e+00 2.64113e-01 2.24253e+07
1.50000e+02 1.52128e+00 2.77198e-01 2.32225e+07
1.52000e+02 1.55994e+00 2.77198e-01 2.29169e+07
1.54000e+02 1.59686e+00 2.58101e-01 2.10610e+07
1.56000e+02 1.62042e+00 2.33771e-01 1.88311e+07
1.58000e+02 1.64147e+00 2.02204e-01 1.60821e+07
