x Vx_1 Vy_1 V_1 Vx_2 Vy_2 V_2 Vx_3 Vy_3 V_3
-2.00e+00 -1.26e-08 -1.29e-08 +1.29e-08 +2.51e-22 -1.99e-07 +1.99e-07 +1.26e-08 -1.29e-08 +1.29e-08
-1.92e+00 -1.03e-07 -1.06e-07 +1.06e-07 +1.80e-21 -1.50e-06 +1.50e-06 +1.03e-07 -1.06e-07 +1.06e-07
-1.84e+00 -7.33e-07 -7.50e-07 +7.50e-07 +1.10e-20 -9.65e-06 +9.65e-06 +7.33e-07 -7.50e-07 +7.50e-07
-1.76e+00 -4.49e-06 -4.58e-06 +4.58e-06 +5.08e-20 -5.34e-05 +5.34e-05 +4.49e-06 -4.58e-06 +4.58e-06
-1.68e+00 -2.38e-05 -2.43e-05 +2.43e-05 +2.44e-19 -2.54e-04 +2.54e-04 +2.38e-05 -2.43e-05 +2.43e-05
-1.60e+00 -1.10e-04 -1.11e-04 +1.11e-04 +1.08e-18 -1.04e-03 +1.04e-03 +1.10e-04 -1.11e-04 +1.11e-04
-1.52e+00 -4.38e-04 -4.44e-04 +4.44e-04 +3.25e-18 -3.67e-03 +3.67e-03 +4.38e-04 -4.44e-04 +4.44e-04
-1.44e+00 -1.53e-03 -1.55e-03 +1.55e-03 +1.04e-17 -1.12e-02 +1.12e-02 +1.53e-03 -1.55e-03 +1.55e-03
-1.36e+00 -4.66e-03 -4.71e-03 +4.71e-03 +2.60e-17 -2.97e-02 +2.97e-02 +4.66e-03 -4.71e-03 +4.71e-03
-1.28e+00 -1.25e-02 -1.26e-02 +1.26e-02 +5.55e-17 -6.83e-02 +6.83e-02 +1.25e-02 -1.26e-02 +1.26e-02
-1.20e+00 -2.94e-02 -2.97e-02 +2.97e-02 +1.25e-16 -1.37e-01 +1.37e-01 +2.94e-02 -2.97e-02 +2.97e-02
-1.12e+00 -6.16e-02 -6.20e-02 +6.20e-02 +1.67e-16 -2.44e-01 +2.44e-01 +6.16e-02 -6.20e-02 +6.20e-02
-1.04e+00 -1.15e-01 -1.16e-01 +1.16e-01 +2.50e-16 -3.83e-01 +3.83e-01 +1.15e-01 -1.16e-01 +1.16e-01
-9.60e-01 -1.93e-01 -1.94e-01 +1.94e-01 +3.89e-16 -5.39e-01 +5.39e-01 +1.93e-01 -1.94e-01 +1.94e-01
-8.80e-01 -2.95e-01 -2.96e-01 +2.96e-01 +5.00e-16 -6.89e-01 +6.89e-01 +2.95e-01 -2.96e-01 +2.96e-01
-8.00e-01 -4.11e-01 -4.12e-01 +4.12e-01 +4.44e-16 -8.13e-01 +8.13e-01 +4.11e-01 -4.12e-01 +4.12e-01
-7.20e-01 -5.31e-01 -5.32e-01 +5.32e-01 +5.55e-16 -9.00e-01 +9.00e-01 +5.31e-01 -5.32e-01 +5.32e-01
-6.40e-01 -6.42e-01 -6.42e-01 +6.44e-01 +5.55e-16 -9.52e-01 +9.53e-01 +6.42e-01 -6.42e-01 +6.44e-01
-5.60e-01 -7.37e-01 -7.34e-01 +7.39e-01 +5.00e-16 -9.76e-01 +9.81e-01 +7.37e-01 -7.34e-01 +7.39e-01
-4.80e-01 -8.11e-01 -7.97e-01 +8.13e-01 +2.22e-16 -9.77e-01 +9.93e-01 +8.11e-01 -7.97e-01 +8.13e-01
-4.00e-01 -8.65e-01 -8.23e-01 +8.67e-01 +2.78e-16 -9.52e-01 +9.98e-01 +8.65e-01 -8.23e-01 +8.67e-01
-3.20e-01 -9.02e-01 -7.98e-01 +9.04e-01 +1.67e-16 -8.90e-01 +9.99e-01 +9.02e-01 -7.98e-01 +9.04e-01
-2.40e-01 -9.27e-01 -7.07e-01 +9.28e-01 +1.11e-16 -7.70e-01 +1.00e+00 +9.27e-01 -7.07e-01 +9.28e-01
-1.60e-01 -9.41e-01 -5.37e-01 +9.43e-01 +1.11e-16 -5.76e-01 +1.00e+00 +9.41e-01 -5.37e-01 +9.43e-01
-8.00e-02 -9.49e-01 -2.91e-01 +9.51e-01 +5.55e-17 -3.11e-01 +1.00e+00 +9.49e-01 -2.91e-01 +9.51e-01
+0.00e+00 -9.52e-01 -3.05e-16 +9.53e-01 +0.00e+00 +0.00e+00 +1.00e+00 +9.52e-01 +5.55e-16 +9.53e-01
