x y Vx Vy V V1 V2 V3 V4
-2.00e+00 -2.00e+00 -1.80e-20 -1.80e-20 +1.80e-20 +5.81e-47 +2.16e-30 +1.80e-20 +2.16e-30
-2.00e+00 -1.92e+00 -2.33e-19 -2.33e-19 +2.33e-19 +3.05e-45 +1.60e-29 +2.33e-19 +1.13e-28
-2.00e+00 -1.84e+00 -2.65e-18 -2.65e-18 +2.66e-18 +1.36e-43 +1.01e-28 +2.65e-18 +5.07e-27
-2.00e+00 -1.76e+00 -2.65e-17 -2.65e-17 +2.66e-17 +5.21e-42 +5.47e-28 +2.65e-17 +1.94e-25
-2.00e+00 -1.68e+00 -2.34e-16 -2.34e-16 +2.35e-16 +1.70e-40 +2.55e-27 +2.34e-16 +6.31e-24
-2.00e+00 -1.60e+00 -1.82e-15 -1.82e-15 +1.82e-15 +4.74e-39 +1.02e-26 +1.82e-15 +1.76e-22
-2.00e+00 -1.52e+00 -1.26e-14 -1.26e-14 +1.25e-14 +1.13e-37 +3.53e-26 +1.26e-14 +4.18e-21
-2.00e+00 -1.44e+00 -7.67e-14 -7.67e-14 +7.66e-14 +2.29e-36 +1.05e-25 +7.67e-14 +8.48e-20
-2.00e+00 -1.36e+00 -4.17e-13 -4.17e-13 +4.16e-13 +3.99e-35 +2.73e-25 +4.17e-13 +1.47e-18
-2.00e+00 -1.28e+00 -2.02e-12 -2.02e-12 +2.02e-12 +5.92e-34 +6.13e-25 +2.02e-12 +2.18e-17
-2.00e+00 -1.20e+00 -8.74e-12 -8.74e-12 +8.74e-12 +7.52e-33 +1.21e-24 +8.74e-12 +2.76e-16
-2.00e+00 -1.12e+00 -3.39e-11 -3.39e-11 +3.39e-11 +8.17e-32 +2.08e-24 +3.39e-11 +2.99e-15
-2.00e+00 -1.04e+00 -1.18e-10 -1.18e-10 +1.18e-10 +7.59e-31 +3.20e-24 +1.18e-10 +2.77e-14
-2.00e+00 -9.60e-01 -3.68e-10 -3.68e-10 +3.69e-10 +6.05e-30 +4.41e-24 +3.68e-10 +2.20e-13
-2.00e+00 -8.80e-01 -1.04e-09 -1.04e-09 +1.04e-09 +4.12e-29 +5.53e-24 +1.04e-09 +1.49e-12
-2.00e+00 -8.00e-01 -2.64e-09 -2.66e-09 +2.65e-09 +2.41e-28 +6.41e-24 +2.65e-09 +8.67e-12
-2.00e+00 -7.20e-01 -6.06e-09 -6.15e-09 +6.15e-09 +1.21e-27 +7.00e-24 +6.11e-09 +4.32e-11
-2.00e+00 -6.40e-01 -1.26e-08 -1.29e-08 +1.29e-08 +5.24e-27 +7.34e-24 +1.28e-08 +1.85e-10
-2.00e+00 -5.60e-01 -2.34e-08 -2.48e-08 +2.48e-08 +1.95e-26 +7.49e-24 +2.41e-08 +6.79e-10
-2.00e+00 -4.80e-01 -3.91e-08 -4.34e-08 +4.34e-08 +6.25e-26 +7.52e-24 +4.12e-08 +2.15e-09
-2.00e+00 -4.00e-01 -5.77e-08 -6.94e-08 +6.94e-08 +1.73e-25 +7.44e-24 +6.36e-08 +5.84e-09
-2.00e+00 -3.20e-01 -7.43e-08 -1.02e-07 +1.02e-07 +4.18e-25 +7.20e-24 +8.80e-08 +1.37e-08
-2.00e+00 -2.40e-01 -8.10e-08 -1.37e-07 +1.37e-07 +8.77e-25 +6.74e-24 +1.09e-07 +2.78e-08
-2.00e+00 -1.60e-01 -7.08e-08 -1.69e-07 +1.69e-07 +1.61e-24 +6.01e-24 +1.20e-07 +4.89e-08
-2.00e+00 -8.00e-02 -4.17e-08 -1.91e-07 +1.91e-07 +2.63e-24 +4.99e-24 +1.16e-07 +7.47e-08
-2.00e+00 +0.00e+00 +2.51e-22 -1.99e-07 +1.99e-07 +3.81e-24 +3.81e-24 +9.97e-08 +9.97e-08
-2.00e+00 +8.00e-02 +4.17e-08 -1.91e-07 +1.91e-07 +4.99e-24 +2.63e-24 +7.47e-08 +1.16e-07
-2.00e+00 +1.60e-01 +7.08e-08 -1.69e-07 +1.69e-07 +6.01e-24 +1.61e-24 +4.89e-08 +1.20e-07
-2.00e+00 +2.40e-01 +8.10e-08 -1.37e-07 +1.37e-07 +6.74e-24 +8.77e-25 +2.78e-08 +1.09e-07
-2.00e+00 +3.20e-01 +7.43e-08 -1.02e-07 +1.02e-07 +7.20e-24 +4.18e-25 +1.37e-08 +8.80e-08
-2.00e+00 +4.00e-01 +5.77e-08 -6.94e-08 +6.94e-08 +7.44e-24 +1.73e-25 +5.84e-09 +6.36e-08
-2.00e+00 +4.80e-01 +3.91e-08 -4.34e-08 +4.34e-08 +7.52e-24 +6.25e-26 +2.15e-09 +4.12e-08
-2.00e+00 +5.60e-01 +2.34e-08 -2.48e-08 +2.48e-08 +7.49e-24 +1.95e-26 +6.79e-10 +2.41e-08
-2.00e+00 +6.40e-01 +1.26e-08 -1.29e-08 +1.29e-08 +7.34e-24 +5.24e-27 +1.85e-10 +1.28e-08
-2.00e+00 +7.20e-01 +6.06e-09 -6.15e-09 +6.15e-09 +7.00e-24 +1.21e-27 +4.32e-11 +6.11e-09
