R a alpha
+1.0000e+00 +0.0000e+00 +2.6134e-01
+1.0000e+00 +2.6316e-02 +2.6130e-01
+1.0000e+00 +5.2632e-02 +2.6119e-01
+1.0000e+00 +7.8947e-02 +2.6099e-01
+1.0000e+00 +1.0526e-01 +2.6072e-01
+1.0000e+00 +1.3158e-01 +2.6038e-01
+1.0000e+00 +1.5789e-01 +2.5995e-01
+1.0000e+00 +1.8421e-01 +2.5945e-01
+1.0000e+00 +2.1053e-01 +2.5886e-01
+1.0000e+00 +2.3684e-01 +2.5820e-01
+1.0000e+00 +2.6316e-01 +2.5746e-01
+1.0000e+00 +2.8947e-01 +2.5663e-01
+1.0000e+00 +3.1579e-01 +2.5572e-01
+1.0000e+00 +3.4211e-01 +2.5473e-01
+1.0000e+00 +3.6842e-01 +2.5365e-01
+1.0000e+00 +3.9474e-01 +2.5249e-01
+1.0000e+00 +4.2105e-01 +2.5124e-01
+1.0000e+00 +4.4737e-01 +2.4990e-01
+1.0000e+00 +4.7368e-01 +2.4847e-01
+1.0000e+00 +5.0000e-01 +2.4694e-01
+1.4500e+00 +0.0000e+00 +3.7894e-01
+1.4500e+00 +2.6316e-02 +3.7889e-01
+1.4500e+00 +5.2632e-02 +3.7872e-01
+1.4500e+00 +7.8947e-02 +3.7844e-01
+1.4500e+00 +1.0526e-01 +3.7805e-01
+1.4500e+00 +1.3158e-01 +3.7755e-01
+1.4500e+00 +1.5789e-01 +3.7693e-01
+1.4500e+00 +1.8421e-01 +3.7620e-01
+1.4500e+00 +2.1053e-01 +3.7535e-01
+1.4500e+00 +2.3684e-01 +3.7439e-01
+1.4500e+00 +2.6316e-01 +3.7331e-01
+1.4500e+00 +2.8947e-01 +3.7211e-01
+1.4500e+00 +3.1579e-01 +3.7079e-01
+1.4500e+00 +3.4211e-01 +3.6936e-01
+1.4500e+00 +3.6842e-01 +3.6779e-01
+1.4500e+00 +3.9474e-01 +3.6610e-01
+1.4500e+00 +4.2105e-01 +3.6429e-01
+1.4500e+00 +4.4737e-01 +3.6234e-01
+1.4500e+00 +4.7368e-01 +3.6026e-01
+1.4500e+00 +5.0000e-01 +3.5805e-01
+1.9000e+00 +0.0000e+00 +4.9655e-01
+1.9000e+00 +2.6316e-02 +4.9648e-01
+1.9000e+00 +5.2632e-02 +4.9626e-01
+1.9000e+00 +7.8947e-02 +4.9589e-01
+1.9000e+00 +1.0526e-01 +4.9538e-01
+1.9000e+00 +1.3158e-01 +4.9472e-01
+1.9000e+00 +1.5789e-01 +4.9391e-01
+1.9000e+00 +1.8421e-01 +4.9295e-01
+1.9000e+00 +2.1053e-01 +4.9184e-01
+1.9000e+00 +2.3684e-01 +4.9058e-01
+1.9000e+00 +2.6316e-01 +4.8916e-01
+1.9000e+00 +2.8947e-01 +4.8759e-01
+1.9000e+00 +3.1579e-01 +4.8586e-01
+1.9000e+00 +3.4211e-01 +4.8398e-01
+1.9000e+00 +3.6842e-01 +4.8193e-01
+1.9000e+00 +3.9474e-01 +4.7971e-01
+1.9000e+00 +4.2105e-01 +4.7733e-01
+1.9000e+00 +4.4737e-01 +4.7478e-01
+1.9000e+00 +4.7368e-01 +4.7205e-01
+1.9000e+00 +5.0000e-01 +4.6914e-01
+2.3500e+00 +0.0000e+00 +6.1415e-01
+2.3500e+00 +2.6316e-02 +6.1406e-01
+2.3500e+00 +5.2632e-02 +6.1379e-01
+2.3500e+00 +7.8947e-02 +6.1334e-01
+2.3500e+00 +1.0526e-01 +6.1270e-01
+2.3500e+00 +1.3158e-01 +6.1189e-01
+2.3500e+00 +1.5789e-01 +6.1088e-01
+2.3500e+00 +1.8421e-01 +6.0970e-01
+2.3500e+00 +2.1053e-01 +6.0833e-01
+2.3500e+00 +2.3684e-01 +6.0676e-01
+2.3500e+00 +2.6316e-01 +6.0501e-01
+2.3500e+00 +2.8947e-01 +6.0307e-01
+2.3500e+00 +3.1579e-01 +6.0093e-01
+2.3500e+00 +3.4211e-01 +5.9860e-01
+2.3500e+00 +3.6842e-01 +5.9606e-01
+2.3500e+00 +3.9474e-01 +5.9332e-01
+2.3500e+00 +4.2105e-01 +5.9037e-01
+2.3500e+00 +4.4737e-01 +5.8721e-01
+2.3500e+00 +4.7368e-01 +5.8383e-01
+2.3500e+00 +5.0000e-01 +5.8023e-01
+2.8000e+00 +0.0000e+00 +7.3176e-01
+2.8000e+00 +2.6316e-02 +7.3165e-01
+2.8000e+00 +5.2632e-02 +7.3132e-01
+2.8000e+00 +7.8947e-02 +7.3078e-01
+2.8000e+00 +1.0526e-01 +7.3003e-01
+2.8000e+00 +1.3158e-01 +7.2905e-01
+2.8000e+00 +1.5789e-01 +7.2786e-01
+2.8000e+00 +1.8421e-01 +7.2645e-01
+2.8000e+00 +2.1053e-01 +7.2481e-01
+2.8000e+00 +2.3684e-01 +7.2295e-01
+2.8000e+00 +2.6316e-01 +7.2086e-01
+2.8000e+00 +2.8947e-01 +7.1855e-01
+2.8000e+00 +3.1579e-01 +7.1600e-01
+2.8000e+00 +3.4211e-01 +7.1321e-01
+2.8000e+00 +3.6842e-01 +7.1019e-01
+2.8000e+00 +3.9474e-01 +7.0692e-01
+2.8000e+00 +4.2105e-01 +7.0340e-01
+2.8000e+00 +4.4737e-01 +6.9963e-01
+2.8000e+00 +4.7368e-01 +6.9560e-01
+2.8000e+00 +5.0000e-01 +6.9131e-01
+3.2500e+00 +0.0000e+00 +8.4936e-01
+3.2500e+00 +2.6316e-02 +8.4923e-01
+3.2500e+00 +5.2632e-02 +8.4886e-01
+3.2500e+00 +7.8947e-02 +8.4823e-01
+3.2500e+00 +1.0526e-01 +8.4735e-01
+3.2500e+00 +1.3158e-01 +8.4622e-01
+3.2500e+00 +1.5789e-01 +8.4484e-01
+3.2500e+00 +1.8421e-01 +8.4320e-01
+3.2500e+00 +2.1053e-01 +8.4130e-01
+3.2500e+00 +2.3684e-01 +8.3913e-01
+3.2500e+00 +2.6316e-01 +8.3671e-01
+3.2500e+00 +2.8947e-01 +8.3402e-01
+3.2500e+00 +3.1579e-01 +8.3106e-01
+3.2500e+00 +3.4211e-01 +8.2782e-01
+3.2500e+00 +3.6842e-01 +8.2431e-01
+3.2500e+00 +3.9474e-01 +8.2051e-01
+3.2500e+00 +4.2105e-01 +8.1643e-01
+3.2500e+00 +4.4737e-01 +8.1205e-01
+3.2500e+00 +4.7368e-01 +8.0737e-01
+3.2500e+00 +5.0000e-01 +8.0238e-01
+3.7000e+00 +0.0000e+00 +9.6696e-01
+3.7000e+00 +2.6316e-02 +9.6682e-01
+3.7000e+00 +5.2632e-02 +9.6639e-01
+3.7000e+00 +7.8947e-02 +9.6568e-01
+3.7000e+00 +1.0526e-01 +9.6468e-01
+3.7000e+00 +1.3158e-01 +9.6339e-01
+3.7000e+00 +1.5789e-01 +9.6181e-01
+3.7000e+00 +1.8421e-01 +9.5994e-01
+3.7000e+00 +2.1053e-01 +9.5778e-01
+3.7000e+00 +2.3684e-01 +9.5532e-01
+3.7000e+00 +2.6316e-01 +9.5256e-01
+3.7000e+00 +2.8947e-01 +9.4949e-01
+3.7000e+00 +3.1579e-01 +9.4612e-01
+3.7000e+00 +3.4211e-01 +9.4243e-01
+3.7000e+00 +3.6842e-01 +9.3843e-01
+3.7000e+00 +3.9474e-01 +9.3410e-01
+3.7000e+00 +4.2105e-01 +9.2945e-01
+3.7000e+00 +4.4737e-01 +9.2446e-01
+3.7000e+00 +4.7368e-01 +9.1912e-01
+3.7000e+00 +5.0000e-01 +9.1344e-01
+4.1500e+00 +0.0000e+00 +1.0846e+00
+4.1500e+00 +2.6316e-02 +1.0844e+00
+4.1500e+00 +5.2632e-02 +1.0839e+00
+4.1500e+00 +7.8947e-02 +1.0831e+00
+4.1500e+00 +1.0526e-01 +1.0820e+00
+4.1500e+00 +1.3158e-01 +1.0806e+00
+4.1500e+00 +1.5789e-01 +1.0788e+00
+4.1500e+00 +1.8421e-01 +1.0767e+00
+4.1500e+00 +2.1053e-01 +1.0743e+00
+4.1500e+00 +2.3684e-01 +1.0715e+00
+4.1500e+00 +2.6316e-01 +1.0684e+00
+4.1500e+00 +2.8947e-01 +1.0650e+00
+4.1500e+00 +3.1579e-01 +1.0612e+00
+4.1500e+00 +3.4211e-01 +1.0570e+00
+4.1500e+00 +3.6842e-01 +1.0525e+00
+4.1500e+00 +3.9474e-01 +1.0477e+00
+4.1500e+00 +4.2105e-01 +1.0425e+00
+4.1500e+00 +4.4737e-01 +1.0369e+00
+4.1500e+00 +4.7368e-01 +1.0309e+00
+4.1500e+00 +5.0000e-01 +1.0245e+00
+4.6000e+00 +0.0000e+00 +1.2022e+00
+4.6000e+00 +2.6316e-02 +1.2020e+00
+4.6000e+00 +5.2632e-02 +1.2015e+00
+4.6000e+00 +7.8947e-02 +1.2006e+00
+4.6000e+00 +1.0526e-01 +1.1993e+00
+4.6000e+00 +1.3158e-01 +1.1977e+00
+4.6000e+00 +1.5789e-01 +1.1958e+00
+4.6000e+00 +1.8421e-01 +1.1934e+00
+4.6000e+00 +2.1053e-01 +1.1907e+00
+4.6000e+00 +2.3684e-01 +1.1877e+00
+4.6000e+00 +2.6316e-01 +1.1842e+00
+4.6000e+00 +2.8947e-01 +1.1804e+00
+4.6000e+00 +3.1579e-01 +1.1762e+00
+4.6000e+00 +3.4211e-01 +1.1716e+00
+4.6000e+00 +3.6842e-01 +1.1667e+00
+4.6000e+00 +3.9474e-01 +1.1613e+00
+4.6000e+00 +4.2105e-01 +1.1555e+00
+4.6000e+00 +4.4737e-01 +1.1493e+00
+4.6000e+00 +4.7368e-01 +1.1426e+00
+4.6000e+00 +5.0000e-01 +1.1355e+00
+5.0500e+00 +0.0000e+00 +1.3198e+00
+5.0500e+00 +2.6316e-02 +1.3196e+00
+5.0500e+00 +5.2632e-02 +1.3190e+00
+5.0500e+00 +7.8947e-02 +1.3180e+00
+5.0500e+00 +1.0526e-01 +1.3167e+00
+5.0500e+00 +1.3158e-01 +1.3149e+00
+5.0500e+00 +1.5789e-01 +1.3127e+00
+5.0500e+00 +1.8421e-01 +1.3102e+00
+5.0500e+00 +2.1053e-01 +1.3072e+00
+5.0500e+00 +2.3684e-01 +1.3039e+00
+5.0500e+00 +2.6316e-01 +1.3001e+00
+5.0500e+00 +2.8947e-01 +1.2959e+00
+5.0500e+00 +3.1579e-01 +1.2913e+00
+5.0500e+00 +3.4211e-01 +1.2862e+00
+5.0500e+00 +3.6842e-01 +1.2808e+00
+5.0500e+00 +3.9474e-01 +1.2748e+00
+5.0500e+00 +4.2105e-01 +1.2685e+00
+5.0500e+00 +4.4737e-01 +1.2616e+00
+5.0500e+00 +4.7368e-01 +1.2543e+00
+5.0500e+00 +5.0000e-01 +1.2466e+00
+5.5000e+00 +0.0000e+00 +1.4374e+00
+5.5000e+00 +2.6316e-02 +1.4372e+00
+5.5000e+00 +5.2632e-02 +1.4365e+00
+5.5000e+00 +7.8947e-02 +1.4355e+00
+5.5000e+00 +1.0526e-01 +1.4340e+00
+5.5000e+00 +1.3158e-01 +1.4321e+00
+5.5000e+00 +1.5789e-01 +1.4297e+00
+5.5000e+00 +1.8421e-01 +1.4269e+00
+5.5000e+00 +2.1053e-01 +1.4237e+00
+5.5000e+00 +2.3684e-01 +1.4200e+00
+5.5000e+00 +2.6316e-01 +1.4159e+00
+5.5000e+00 +2.8947e-01 +1.4114e+00
+5.5000e+00 +3.1579e-01 +1.4063e+00
+5.5000e+00 +3.4211e-01 +1.4008e+00
+5.5000e+00 +3.6842e-01 +1.3949e+00
+5.5000e+00 +3.9474e-01 +1.3884e+00
+5.5000e+00 +4.2105e-01 +1.3815e+00
+5.5000e+00 +4.4737e-01 +1.3740e+00
+5.5000e+00 +4.7368e-01 +1.3661e+00
+5.5000e+00 +5.0000e-01 +1.3576e+00
+5.9500e+00 +0.0000e+00 +1.5550e+00
+5.9500e+00 +2.6316e-02 +1.5548e+00
+5.9500e+00 +5.2632e-02 +1.5541e+00
+5.9500e+00 +7.8947e-02 +1.5529e+00
+5.9500e+00 +1.0526e-01 +1.5513e+00
+5.9500e+00 +1.3158e-01 +1.5492e+00
+5.9500e+00 +1.5789e-01 +1.5467e+00
+5.9500e+00 +1.8421e-01 +1.5437e+00
+5.9500e+00 +2.1053e-01 +1.5402e+00
+5.9500e+00 +2.3684e-01 +1.5362e+00
+5.9500e+00 +2.6316e-01 +1.5318e+00
+5.9500e+00 +2.8947e-01 +1.5268e+00
+5.9500e+00 +3.1579e-01 +1.5214e+00
+5.9500e+00 +3.4211e-01 +1.5154e+00
+5.9500e+00 +3.6842e-01 +1.5090e+00
+5.9500e+00 +3.9474e-01 +1.5020e+00
+5.9500e+00 +4.2105e-01 +1.4945e+00
+5.9500e+00 +4.4737e-01 +1.4864e+00
+5.9500e+00 +4.7368e-01 +1.4778e+00
+5.9500e+00 +5.0000e-01 +1.4686e+00
+6.4000e+00 +0.0000e+00 +1.6726e+00
+6.4000e+00 +2.6316e-02 +1.6723e+00
+6.4000e+00 +5.2632e-02 +1.6716e+00
+6.4000e+00 +7.8947e-02 +1.6704e+00
+6.4000e+00 +1.0526e-01 +1.6686e+00
+6.4000e+00 +1.3158e-01 +1.6664e+00
+6.4000e+00 +1.5789e-01 +1.6637e+00
+6.4000e+00 +1.8421e-01 +1.6604e+00
+6.4000e+00 +2.1053e-01 +1.6567e+00
+6.4000e+00 +2.3684e-01 +1.6524e+00
+6.4000e+00 +2.6316e-01 +1.6476e+00
+6.4000e+00 +2.8947e-01 +1.6423e+00
+6.4000e+00 +3.1579e-01 +1.6364e+00
+6.4000e+00 +3.4211e-01 +1.6300e+00
+6.4000e+00 +3.6842e-01 +1.6231e+00
+6.4000e+00 +3.9474e-01 +1.6155e+00
+6.4000e+00 +4.2105e-01 +1.6074e+00
+6.4000e+00 +4.4737e-01 +1.5988e+00
+6.4000e+00 +4.7368e-01 +1.5895e+00
+6.4000e+00 +5.0000e-01 +1.5796e+00
+6.8500e+00 +0.0000e+00 +1.7902e+00
+6.8500e+00 +2.6316e-02 +1.7899e+00
+6.8500e+00 +5.2632e-02 +1.7891e+00
+6.8500e+00 +7.8947e-02 +1.7878e+00
+6.8500e+00 +1.0526e-01 +1.7860e+00
+6.8500e+00 +1.3158e-01 +1.7836e+00
+6.8500e+00 +1.5789e-01 +1.7806e+00
+6.8500e+00 +1.8421e-01 +1.7772e+00
+6.8500e+00 +2.1053e-01 +1.7732e+00
+6.8500e+00 +2.3684e-01 +1.7686e+00
+6.8500e+00 +2.6316e-01 +1.7634e+00
+6.8500e+00 +2.8947e-01 +1.7577e+00
+6.8500e+00 +3.1579e-01 +1.7515e+00
+6.8500e+00 +3.4211e-01 +1.7446e+00
+6.8500e+00 +3.6842e-01 +1.7372e+00
+6.8500e+00 +3.9474e-01 +1.7291e+00
+6.8500e+00 +4.2105e-01 +1.7204e+00
+6.8500e+00 +4.4737e-01 +1.7111e+00
+6.8500e+00 +4.7368e-01 +1.7012e+00
+6.8500e+00 +5.0000e-01 +1.6906e+00
+7.3000e+00 +0.0000e+00 +1.9078e+00
+7.3000e+00 +2.6316e-02 +1.9075e+00
+7.3000e+00 +5.2632e-02 +1.9067e+00
+7.3000e+00 +7.8947e-02 +1.9053e+00
+7.3000e+00 +1.0526e-01 +1.9033e+00
+7.3000e+00 +1.3158e-01 +1.9007e+00
+7.3000e+00 +1.5789e-01 +1.8976e+00
+7.3000e+00 +1.8421e-01 +1.8939e+00
+7.3000e+00 +2.1053e-01 +1.8896e+00
+7.3000e+00 +2.3684e-01 +1.8848e+00
+7.3000e+00 +2.6316e-01 +1.8793e+00
+7.3000e+00 +2.8947e-01 +1.8732e+00
+7.3000e+00 +3.1579e-01 +1.8665e+00
+7.3000e+00 +3.4211e-01 +1.8592e+00
+7.3000e+00 +3.6842e-01 +1.8512e+00
+7.3000e+00 +3.9474e-01 +1.8427e+00
+7.3000e+00 +4.2105e-01 +1.8334e+00
+7.3000e+00 +4.4737e-01 +1.8235e+00
+7.3000e+00 +4.7368e-01 +1.8129e+00
+7.3000e+00 +5.0000e-01 +1.8015e+00
+7.7500e+00 +0.0000e+00 +2.0254e+00
+7.7500e+00 +2.6316e-02 +2.0251e+00
+7.7500e+00 +5.2632e-02 +2.0242e+00
+7.7500e+00 +7.8947e-02 +2.0227e+00
+7.7500e+00 +1.0526e-01 +2.0206e+00
+7.7500e+00 +1.3158e-01 +2.0179e+00
+7.7500e+00 +1.5789e-01 +2.0146e+00
+7.7500e+00 +1.8421e-01 +2.0107e+00
+7.7500e+00 +2.1053e-01 +2.0061e+00
