R P dT
+1.0000e+00 +1.0000e+01 +3.1935e+00
+1.4737e+00 +1.0000e+01 +3.1935e+00
+1.9474e+00 +1.0000e+01 +3.1935e+00
+2.4211e+00 +1.0000e+01 +3.1935e+00
+2.8947e+00 +1.0000e+01 +3.1935e+00
+3.3684e+00 +1.0000e+01 +3.1935e+00
+3.8421e+00 +1.0000e+01 +3.1934e+00
+4.3158e+00 +1.0000e+01 +3.1934e+00
+4.7895e+00 +1.0000e+01 +3.1934e+00
+5.2632e+00 +1.0000e+01 +3.1934e+00
+5.7368e+00 +1.0000e+01 +3.1934e+00
+6.2105e+00 +1.0000e+01 +3.1934e+00
+6.6842e+00 +1.0000e+01 +3.1934e+00
+7.1579e+00 +1.0000e+01 +3.1934e+00
+7.6316e+00 +1.0000e+01 +3.1934e+00
+8.1053e+00 +1.0000e+01 +3.1934e+00
+8.5789e+00 +1.0000e+01 +3.1934e+00
+9.0526e+00 +1.0000e+01 +3.1934e+00
+9.5263e+00 +1.0000e+01 +3.1934e+00
+1.0000e+01 +1.0000e+01 +3.1934e+00
+1.0000e+00 +1.9500e+01 +6.2273e+00
+1.4737e+00 +1.9500e+01 +6.2273e+00
+1.9474e+00 +1.9500e+01 +6.2273e+00
+2.4211e+00 +1.9500e+01 +6.2272e+00
+2.8947e+00 +1.9500e+01 +6.2272e+00
+3.3684e+00 +1.9500e+01 +6.2272e+00
+3.8421e+00 +1.9500e+01 +6.2272e+00
+4.3158e+00 +1.9500e+01 +6.2272e+00
+4.7895e+00 +1.9500e+01 +6.2272e+00
+5.2632e+00 +1.9500e+01 +6.2272e+00
+5.7368e+00 +1.9500e+01 +6.2272e+00
+6.2105e+00 +1.9500e+01 +6.2272e+00
+6.6842e+00 +1.9500e+01 +6.2272e+00
+7.1579e+00 +1.9500e+01 +6.2272e+00
+7.6316e+00 +1.9500e+01 +6.2272e+00
+8.1053e+00 +1.9500e+01 +6.2272e+00
+8.5789e+00 +1.9500e+01 +6.2272e+00
+9.0526e+00 +1.9500e+01 +6.2272e+00
+9.5263e+00 +1.9500e+01 +6.2272e+00
+1.0000e+01 +1.9500e+01 +6.2271e+00
+1.0000e+00 +2.9000e+01 +9.2611e+00
+1.4737e+00 +2.9000e+01 +9.2610e+00
+1.9474e+00 +2.9000e+01 +9.2610e+00
+2.4211e+00 +2.9000e+01 +9.2610e+00
+2.8947e+00 +2.9000e+01 +9.2610e+00
+3.3684e+00 +2.9000e+01 +9.2610e+00
+3.8421e+00 +2.9000e+01 +9.2610e+00
+4.3158e+00 +2.9000e+01 +9.2610e+00
+4.7895e+00 +2.9000e+01 +9.2610e+00
+5.2632e+00 +2.9000e+01 +9.2610e+00
+5.7368e+00 +2.9000e+01 +9.2610e+00
+6.2105e+00 +2.9000e+01 +9.2610e+00
+6.6842e+00 +2.9000e+01 +9.2609e+00
+7.1579e+00 +2.9000e+01 +9.2609e+00
+7.6316e+00 +2.9000e+01 +9.2609e+00
+8.1053e+00 +2.9000e+01 +9.2609e+00
+8.5789e+00 +2.9000e+01 +9.2609e+00
+9.0526e+00 +2.9000e+01 +9.2609e+00
+9.5263e+00 +2.9000e+01 +9.2609e+00
+1.0000e+01 +2.9000e+01 +9.2609e+00
+1.0000e+00 +3.8500e+01 +1.2295e+01
+1.4737e+00 +3.8500e+01 +1.2295e+01
+1.9474e+00 +3.8500e+01 +1.2295e+01
