dy F4_y1 F4_y2 F4_z1 F4_z2 F2_y1 F2_y2 F2_z1 F2_z2
-2.0000e-01 -1.0415e+00 -5.5224e-01 -1.2361e-01 -1.7703e-01 -1.0862e-01 -3.8581e-02 -2.0742e-02 -6.2802e-02
-1.9000e-01 -6.8109e-01 -3.3772e-01 -1.0916e-01 -1.5981e-01 -8.0710e-02 -1.8276e-02 -9.0216e-03 -5.2763e-02
-1.8000e-01 -2.4499e-01 -3.7263e-02 -7.2472e-02 -1.1786e-01 -2.0959e-02 +1.9846e-02 +1.1609e-02 +3.8687e-02
-1.7000e-01 +1.5683e-01 +2.9596e-01 -9.2087e-03 -4.1876e-02 +5.0028e-02 +6.1353e-02 +4.7990e-02 +7.1313e-02
-1.6000e-01 +5.0481e-01 +5.8108e-01 +7.1536e-02 +3.6488e-02 +9.9395e-02 +1.2888e-01 +4.0267e-02 +9.4846e-02
-1.5000e-01 +7.3568e-01 +7.9252e-01 +1.5467e-01 +1.3328e-01 +1.3603e-01 +1.6676e-01 +7.4405e-02 +6.8311e-02
-1.4000e-01 +8.6017e-01 +8.1047e-01 +2.3725e-01 +2.2843e-01 +1.7198e-01 +1.8034e-01 +1.0496e-01 +5.9064e-02
-1.3000e-01 +8.8575e-01 +6.8234e-01 +2.8136e-01 +3.0226e-01 +1.7448e-01 +1.6438e-01 +8.3045e-02 +6.8691e-02
-1.2000e-01 +7.7880e-01 +4.1318e-01 +2.4488e-01 +3.6438e-01 +1.2780e-01 +1.0752e-01 +9.6296e-02 +7.7827e-02
-1.1000e-01 +5.6722e-01 +2.1393e-01 +2.1966e-01 +3.8261e-01 +7.6325e-02 +5.2525e-02 +9.5929e-02 +9.1937e-02
-1.0000e-01 +1.9928e-01 +5.4381e-02 +1.4716e-01 +3.2928e-01 +1.6222e-02 -1.9540e-02 +4.4309e-02 +6.7074e-02
-9.0000e-02 -1.6094e-01 -1.9497e-01 +6.5465e-02 +2.6655e-01 -5.6621e-02 -6.5875e-02 +6.2434e-03 +3.9867e-02
-8.0000e-02 -5.8146e-01 -6.0439e-01 -1.9276e-04 +2.1179e-01 -1.5971e-01 -1.5266e-01 +3.8171e-02 +4.1932e-02
-7.0000e-02 -1.0083e+00 -1.0596e+00 -4.3349e-02 +1.3867e-01 -2.1849e-01 -1.9241e-01 -1.4500e-02 +2.5315e-02
-6.0000e-02 -1.3573e+00 -1.4975e+00 -7.7681e-02 +9.0056e-02 -2.4738e-01 -2.2167e-01 -2.6871e-02 -1.6412e-03
-5.0000e-02 -1.5290e+00 -1.7253e+00 -1.0554e-01 +4.0317e-02 -2.6925e-01 -2.3546e-01 -3.6328e-02 -3.0492e-02
-4.0000e-02 -1.4633e+00 -1.8462e+00 -1.1687e-01 -5.1535e-03 -2.6057e-01 -2.2455e-01 -4.0701e-02 -3.1471e-02
