dy DV_y_m10 DV_y_m00 DV_y_p10 DV_z_m10 DV_z_m00 DV_z_p10
-1.5000e-01 +1.3018e-02 +9.2548e-03 +1.1727e-02 -1.5516e-03 +2.9514e-04 +6.5250e-04
-1.4000e-01 +1.7463e-02 +1.2152e-02 +1.0339e-02 -1.6306e-03 +6.2000e-04 +4.2314e-04
-1.3000e-01 +1.7462e-02 +1.0383e-02 +1.0050e-02 -7.6048e-04 +5.6086e-04 +8.3233e-04
-1.2000e-01 +1.0331e-02 +4.7127e-03 +5.6958e-03 +7.7803e-04 +1.1730e-03 +1.1956e-03
-1.1000e-01 +5.2418e-03 +1.0188e-03 +1.5063e-03 -4.0570e-04 +3.1206e-04 +1.3117e-03
-1.0000e-01 +1.3310e-03 -1.6101e-03 -2.5126e-03 +8.9042e-04 +4.1709e-04 +7.6921e-04
-9.0000e-02 -1.4294e-03 -5.3370e-03 -5.9073e-03 +4.4186e-04 -4.0449e-04 +2.7125e-04
-8.0000e-02 -8.4906e-03 -6.8370e-03 -1.0520e-02 -4.1097e-04 +2.6185e-04 -8.5718e-04
-7.0000e-02 -1.3072e-02 -1.1878e-02 -1.6209e-02 -1.7321e-03 -1.8156e-03 -2.4894e-03
-6.0000e-02 -2.1918e-02 -1.8032e-02 -1.7833e-02 -4.3101e-03 -3.3423e-03 -3.3520e-03
-5.0000e-02 -2.0422e-02 -1.8058e-02 -1.8203e-02 -3.7786e-03 -3.7269e-03 -3.5009e-03
-4.0000e-02 -1.9495e-02 -2.1907e-02 -1.3488e-02 -4.2975e-03 -2.5995e-03 -2.6678e-03
-3.0000e-02 -1.4714e-02 -1.7594e-02 -9.5450e-03 -2.4923e-03 -2.1621e-03 -1.8606e-03
-2.0000e-02 -8.0452e-03 -7.4291e-03 -4.0503e-03 -1.4283e-03 -2.0465e-03 -1.0243e-03
-1.0000e-02 -2.3511e-03 -1.3608e-03 -5.2848e-04 -4.6404e-04 -7.0193e-04 -3.8602e-04
+0.0000e+00 +4.2415e-04 +4.2518e-04 +4.2584e-04 -3.4504e-04 -5.1599e-04 -2.6358e-04
+1.0000e-02 +1.8820e-03 +2.4787e-03 +3.2824e-03 +1.5833e-04 -7.5407e-04 -3.2449e-04
+2.0000e-02 +7.9449e-03 +6.8799e-03 +5.5509e-03 -9.1357e-04 -4.7392e-04 +3.4663e-04
+3.0000e-02 +1.0928e-02 +7.9843e-03 +4.1956e-03 -1.1911e-03 +2.0675e-04 -2.6591e-04
+4.0000e-02 +1.4183e-02 +1.0277e-02 +6.8254e-03 -1.6875e-03 -1.0191e-03 -6.1234e-04
+5.0000e-02 +1.6768e-02 +9.2202e-03 +5.8277e-03 -2.2575e-03 -5.6458e-04 +2.8036e-04
+6.0000e-02 +1.1838e-02 +5.6746e-03 +4.1297e-03 -1.9206e-03 -5.0526e-04 -2.6726e-04
+7.0000e-02 +7.5293e-03 +2.4043e-03 +2.3668e-03 -4.2928e-04 +2.5724e-04 +3.9000e-04
+8.0000e-02 +2.5629e-03 -9.0645e-04 +4.5832e-04 -4.0132e-04 +3.7114e-04 +3.0731e-04
+9.0000e-02 -7.6442e-04 -3.0216e-03 -1.0237e-03 -2.8063e-04 -6.0933e-04 +4.6058e-04
