dy DV_y_m10 DV_y_m00 DV_y_p10 DV_z_m10 DV_z_m00 DV_z_p10
-1.50e-01 +1.30e+01 +9.25e+00 +1.17e+01 -1.55e+00 +2.95e-01 +6.52e-01
-1.40e-01 +1.75e+01 +1.22e+01 +1.03e+01 -1.63e+00 +6.20e-01 +4.23e-01
-1.30e-01 +1.75e+01 +1.04e+01 +1.01e+01 -7.60e-01 +5.61e-01 +8.32e-01
-1.20e-01 +1.03e+01 +4.71e+00 +5.70e+00 +7.78e-01 +1.17e+00 +1.20e+00
-1.10e-01 +5.24e+00 +1.02e+00 +1.51e+00 -4.06e-01 +3.12e-01 +1.31e+00
-1.00e-01 +1.33e+00 -1.61e+00 -2.51e+00 +8.90e-01 +4.17e-01 +7.69e-01
-9.00e-02 -1.43e+00 -5.34e+00 -5.91e+00 +4.42e-01 -4.04e-01 +2.71e-01
-8.00e-02 -8.49e+00 -6.84e+00 -1.05e+01 -4.11e-01 +2.62e-01 -8.57e-01
-7.00e-02 -1.31e+01 -1.19e+01 -1.62e+01 -1.73e+00 -1.82e+00 -2.49e+00
-6.00e-02 -2.19e+01 -1.80e+01 -1.78e+01 -4.31e+00 -3.34e+00 -3.35e+00
-5.00e-02 -2.04e+01 -1.81e+01 -1.82e+01 -3.78e+00 -3.73e+00 -3.50e+00
-4.00e-02 -1.95e+01 -2.19e+01 -1.35e+01 -4.30e+00 -2.60e+00 -2.67e+00
-3.00e-02 -1.47e+01 -1.76e+01 -9.54e+00 -2.49e+00 -2.16e+00 -1.86e+00
-2.00e-02 -8.05e+00 -7.43e+00 -4.05e+00 -1.43e+00 -2.05e+00 -1.02e+00
-1.00e-02 -2.35e+00 -1.36e+00 -5.28e-01 -4.64e-01 -7.02e-01 -3.86e-01
+0.00e+00 +4.24e-01 +4.25e-01 +4.26e-01 -3.45e-01 -5.16e-01 -2.64e-01
+1.00e-02 +1.88e+00 +2.48e+00 +3.28e+00 +1.58e-01 -7.54e-01 -3.24e-01
+2.00e-02 +7.94e+00 +6.88e+00 +5.55e+00 -9.14e-01 -4.74e-01 +3.47e-01
+3.00e-02 +1.09e+01 +7.98e+00 +4.20e+00 -1.19e+00 +2.07e-01 -2.66e-01
+4.00e-02 +1.42e+01 +1.03e+01 +6.83e+00 -1.69e+00 -1.02e+00 -6.12e-01
+5.00e-02 +1.68e+01 +9.22e+00 +5.83e+00 -2.26e+00 -5.65e-01 +2.80e-01
+6.00e-02 +1.18e+01 +5.67e+00 +4.13e+00 -1.92e+00 -5.05e-01 -2.67e-01
+7.00e-02 +7.53e+00 +2.40e+00 +2.37e+00 -4.29e-01 +2.57e-01 +3.90e-01
+8.00e-02 +2.56e+00 -9.06e-01 +4.58e-01 -4.01e-01 +3.71e-01 +3.07e-01
+9.00e-02 -7.64e-01 -3.02e+00 -1.02e+00 -2.81e-01 -6.09e-01 +4.61e-01
