time duty_50 duty_70 duty_100
+0.0000e+00 +4.0000e+00 +2.0000e+00 +0.0000e+00
+4.2084e-03 +4.2614e+00 +2.2614e+00 +2.6135e-01
+8.4168e-03 +4.5045e+00 +2.5045e+00 +5.0454e-01
+1.2625e-02 +4.7126e+00 +2.7126e+00 +7.1265e-01
+1.6834e-02 +4.8712e+00 +2.8712e+00 +8.7122e-01
+2.1042e-02 +4.9692e+00 +2.9692e+00 +9.6924e-01
+2.5251e-02 +4.9999e+00 +2.9999e+00 +9.9988e-01
+2.9459e-02 +4.9610e+00 +2.9610e+00 +9.6101e-01
+3.3667e-02 +4.8553e+00 +2.8553e+00 +8.5534e-01
+3.7876e-02 +4.6902e+00 +2.6902e+00 +6.9022e-01
+4.2084e-02 +4.4771e+00 +2.4771e+00 +4.7711e-01
+4.6293e-02 +4.2308e+00 +2.2308e+00 +2.3084e-01
+5.0501e-02 +3.9685e+00 +1.9685e+00 -3.1474e-02
+5.4709e-02 +3.7084e+00 +1.7084e+00 -2.9160e-01
+5.8918e-02 +3.4685e+00 +1.4685e+00 -5.3146e-01
+6.3126e-02 +3.2656e+00 +1.2656e+00 -7.3438e-01
+6.7335e-02 +3.1138e+00 +1.1138e+00 -8.8624e-01
+7.1543e-02 +3.0235e+00 +1.0235e+00 -9.7650e-01
+7.5752e-02 +3.0011e+00 +1.0011e+00 -9.9889e-01
+7.9960e-02 +3.0482e+00 +1.0482e+00 -9.5183e-01
+8.4168e-02 +3.1614e+00 +1.1614e+00 -8.3861e-01
+8.8377e-02 +3.3329e+00 +1.3329e+00 -6.6710e-01
+9.2585e-02 +3.5508e+00 +1.5508e+00 -4.4922e-01
+9.6794e-02 +3.7999e+00 +1.7999e+00 -2.0010e-01
+1.0100e-01 +4.0629e+00 +2.0629e+00 +6.2916e-02
+1.0521e-01 +4.3216e+00 +2.3216e+00 +3.2156e-01
+1.0942e-01 +4.5579e+00 +2.5579e+00 +5.5786e-01
+1.1363e-01 +4.7554e+00 +2.7554e+00 +7.5537e-01
+1.1784e-01 +4.9004e+00 +2.9004e+00 +9.0038e-01
+1.2204e-01 +4.9828e+00 +2.9828e+00 +9.8280e-01
+1.2625e-01 +4.9969e+00 +2.9969e+00 +9.9690e-01
+1.3046e-01 +4.9417e+00 +2.9417e+00 +9.4171e-01
+1.3467e-01 +4.8211e+00 +2.8211e+00 +8.2105e-01
+1.3888e-01 +4.6433e+00 +2.6433e+00 +6.4332e-01
+1.4309e-01 +4.4209e+00 +2.4209e+00 +4.2087e-01
+1.4729e-01 +4.1692e+00 +2.1692e+00 +1.6917e-01
+1.5150e-01 +3.9057e+00 +1.9057e+00 -9.4296e-02
+1.5571e-01 +3.6488e+00 +1.6488e+00 -3.5121e-01
+1.5992e-01 +3.4163e+00 +1.4163e+00 -5.8370e-01
+1.6413e-01 +3.2244e+00 +1.2244e+00 -7.7562e-01
+1.6834e-01 +3.0864e+00 +1.0864e+00 -9.1363e-01
+1.7255e-01 +3.0119e+00 +1.0119e+00 -9.8813e-01
+1.7675e-01 +3.0061e+00 +1.0061e+00 -9.9394e-01
+1.8096e-01 +3.0693e+00 +1.0693e+00 -9.3065e-01
+1.8517e-01 +3.1973e+00 +1.1973e+00 -8.0268e-01
+1.8938e-01 +3.3811e+00 +1.3811e+00 -6.1891e-01
+1.9359e-01 +3.6079e+00 +1.6079e+00 -3.9212e-01
+1.9780e-01 +3.8619e+00 +1.8619e+00 -1.3806e-01
+2.0200e-01 +4.1256e+00 +2.1256e+00 +1.2558e-01
+2.0621e-01 +4.3805e+00 +2.3805e+00 +3.8050e-01
+2.1042e-01 +4.6090e+00 +2.6090e+00 +6.0897e-01
+2.1463e-01 +4.7951e+00 +2.7951e+00 +7.9511e-01
+2.1884e-01 +4.9260e+00 +2.9260e+00 +9.2597e-01
+2.2305e-01 +4.9925e+00 +2.9925e+00 +9.9247e-01
+2.2725e-01 +4.9900e+00 +2.9900e+00 +9.8998e-01
+2.3146e-01 +4.9187e+00 +2.9187e+00 +9.1868e-01
+2.3567e-01 +4.7835e+00 +2.7835e+00 +7.8351e-01
+2.3988e-01 +4.5939e+00 +2.5939e+00 +5.9388e-01
+2.4409e-01 +4.3630e+00 +2.3630e+00 +3.6297e-01
+2.4830e-01 +4.1068e+00 +2.1068e+00 +1.0682e-01
+2.5251e-01 +3.8433e+00 +1.8433e+00 -1.5675e-01
+2.5671e-01 +3.5906e+00 +1.5906e+00 -4.0942e-01
