dt DV_y_m08_100_m00 DV_z_m08_100_m00 DV_y_m08_090_m00 DV_z_m08_090_m00 DV_y_m08_080_m00 DV_z_m08_080_m00 DV_y_m08_070_m00 DV_z_m08_070_m00 DV_y_m08_060_m00 DV_z_m08_060_m00 DV_y_m08_050_m00 DV_z_m08_050_m00 DV_y_m08_040_m00 DV_z_m08_040_m00 DV_y_m07_100_m00 DV_z_m07_100_m00 DV_y_m07_090_m00 DV_z_m07_090_m00 DV_y_m07_080_m00 DV_z_m07_080_m00 DV_y_m07_070_m00 DV_z_m07_070_m00 DV_y_m07_060_m00 DV_z_m07_060_m00 DV_y_m07_050_m00 DV_z_m07_050_m00 DV_y_m07_040_m00 DV_z_m07_040_m00 DV_y_m06_100_m00 DV_z_m06_100_m00 DV_y_m06_090_m00 DV_z_m06_090_m00 DV_y_m06_080_m00 DV_z_m06_080_m00 DV_y_m06_070_m00 DV_z_m06_070_m00 DV_y_m06_060_m00 DV_z_m06_060_m00 DV_y_m06_050_m00 DV_z_m06_050_m00 DV_y_m06_040_m00 DV_z_m06_040_m00 DV_y_m05_100_m00 DV_z_m05_100_m00 DV_y_m05_090_m00 DV_z_m05_090_m00 DV_y_m05_080_m00 DV_z_m05_080_m00 DV_y_m05_070_m00 DV_z_m05_070_m00 DV_y_m05_060_m00 DV_z_m05_060_m00 DV_y_m05_050_m00 DV_z_m05_050_m00 DV_y_m05_040_m00 DV_z_m05_040_m00 DV_y_m04_100_m00 DV_z_m04_100_m00 DV_y_m04_090_m00 DV_z_m04_090_m00 DV_y_m04_080_m00 DV_z_m04_080_m00 DV_y_m04_070_m00 DV_z_m04_070_m00 DV_y_m04_060_m00 DV_z_m04_060_m00 DV_y_m04_050_m00 DV_z_m04_050_m00 DV_y_m04_040_m00 DV_z_m04_040_m00 DV_y_m03_100_m00 DV_z_m03_100_m00 DV_y_m03_090_m00 DV_z_m03_090_m00 DV_y_m03_080_m00 DV_z_m03_080_m00 DV_y_m03_070_m00 DV_z_m03_070_m00 DV_y_m03_060_m00 DV_z_m03_060_m00 DV_y_m03_050_m00 DV_z_m03_050_m00 DV_y_m03_040_m00 DV_z_m03_040_m00
-7.8292e+01 +4.4520e-03 +1.1815e-02 +6.5755e-03 +1.8535e-03 +9.3541e-04 +1.5002e-02 +7.3086e-04 +5.5029e-03 +8.9174e-04 +1.1393e-02 +1.3061e-03 +1.3202e-02 +1.7156e-03 +2.8243e-03 +7.3772e-04 +8.6801e-03 +2.9584e-03 +1.4887e-03 +1.8969e-03 +9.9612e-03 +9.1451e-04 +4.1489e-03 +2.7231e-05 +8.7338e-03 +1.0201e-04 +3.0165e-03 +1.6863e-03 +6.9976e-03 +1.4534e-03 +2.3306e-02 +3.3271e-03 +5.3251e-03 +6.6599e-04 +4.4443e-04 +1.4478e-03 +3.0289e-03 +5.2874e-04 +4.5315e-03 +6.0006e-04 +6.4547e-04 +1.7413e-03 +1.1560e-03 +3.0444e-03 +7.9781e-03 +1.2154e-03 +5.5576e-03 +1.3162e-03 +1.4976e-03 +3.3589e-04 +3.7185e-03 +6.4782e-05 +2.9784e-03 +2.1537e-04 +9.6820e-04 +2.1533e-03 +9.6629e-03 +3.4491e-03 +9.5346e-04 +8.8012e-03 +1.4788e-03 +3.2602e-03 +1.4979e-03 +4.1657e-04 +1.1018e-02 +1.9754e-03 +7.9704e-03 +2.9777e-03 +1.1583e-02 +7.0241e-04 +2.8513e-03 +8.1392e-03 +6.2088e-03 +1.6369e-02 +1.9124e-02 +1.4183e-04 +2.4450e-02 +9.5924e-04 +6.7016e-03 +2.8156e-04 +1.5988e-02 +3.2555e-03 +7.5259e-05 +1.2172e-03 +1.9372e-02
-7.6285e+01 +6.2103e-03 +1.5124e-02 +8.5365e-03 +5.1097e-03 +2.9786e-03 +1.8947e-02 +5.1265e-04 +2.3711e-03 +2.9061e-04 +2.1732e-02 +1.9308e-03 +1.4747e-02 +2.0644e-03 +3.2022e-03 +1.1342e-03 +4.3994e-03 +4.1419e-03 +2.5675e-03 +2.9228e-03 +7.4550e-03 +1.1365e-03 +8.0450e-03 +1.9181e-04 +1.0519e-02 +1.8781e-04 +1.2604e-03 +1.8091e-03 +2.0403e-03 +2.8461e-03 +2.2075e-02 +4.4840e-03 +5.8727e-03 +1.2211e-03 +1.7326e-04 +1.3209e-03 +2.9113e-05 +1.4444e-03 +1.1904e-03 +1.1236e-03 +6.2104e-04 +1.9607e-03 +7.6649e-04 +2.0032e-03 +7.6805e-03 +2.0344e-03 +5.9861e-03 +1.5366e-03 +4.4622e-03 +3.1195e-04 +4.7247e-03 +1.8465e-04 +1.8157e-03 +3.7448e-04 +2.6764e-03 +2.6990e-03 +9.8523e-03 +5.0723e-03 +4.6720e-04 +8.3670e-03 +1.4325e-02 +4.9350e-03 +1.1671e-03 +1.3702e-04 +1.6142e-02 +3.1087e-03 +8.7930e-03 +3.6077e-03 +1.1106e-02 +1.7570e-03 +3.1794e-03 +8.4708e-03 +6.8303e-03 +2.1317e-02 +2.7112e-02 +4.3350e-03 +2.4301e-02 +3.0861e-03 +1.6460e-03 +1.3648e-03 +1.8985e-02 +2.6845e-03 +6.8376e-03 +1.2361e-03 +2.6748e-02
-7.4278e+01 +6.9042e-03 +2.3480e-02 +9.8780e-03 +1.9227e-03 +3.2889e-03 +1.9726e-02 +7.5249e-05 +7.6170e-03 +4.2489e-04 +3.0471e-02 +2.5384e-03 +2.2581e-02 +2.3768e-03 +3.0707e-03 +1.8275e-03 +7.2412e-03 +6.0037e-03 +3.7474e-03 +2.5874e-03 +1.4708e-02 +8.8231e-04 +1.0420e-02 +6.1259e-04 +1.7377e-02 +8.6059e-04 +5.8636e-03 +2.1833e-03 +1.1048e-03 +2.1488e-03 +2.7020e-02 +4.5468e-03 +1.3984e-02 +1.5202e-03 +9.9038e-06 +1.4628e-03 +1.2816e-03 +2.1463e-03 +4.5547e-03 +4.5498e-04 +1.3266e-03 +2.1402e-03 +3.7286e-03 +1.2985e-03 +3.2058e-03 +2.1893e-03 +5.5422e-03 +1.3456e-03 +1.1180e-02 +3.4634e-04 +1.8259e-03 +7.3624e-05 +1.3184e-03 +1.5674e-09 +5.5144e-03 +3.5837e-03 +8.2523e-03 +5.9537e-03 +2.6313e-03 +8.5798e-03 +1.1039e-02 +6.0135e-03 +1.9288e-03 +1.5700e-04 +1.9652e-02 +4.5900e-03 +7.8895e-03 +3.9654e-03 +6.5797e-03 +3.6536e-03 +1.4599e-02 +1.3027e-02 +1.7694e-02 +2.7174e-02 +2.8652e-02 +4.6386e-03 +2.6087e-02 +2.5469e-03 +1.1780e-02 +7.4202e-05 +2.0144e-02 +2.2008e-03 +7.8560e-03 +3.5336e-03 +2.4254e-02
-7.2270e+01 +3.1503e-03 +4.3655e-02 +1.2157e-02 +4.1754e-03 +4.9729e-03 +2.3641e-02 +5.4012e-04 +1.4563e-02 +4.3855e-04 +2.6005e-02 +2.4158e-03 +3.0750e-02 +3.1762e-03 +6.3976e-04 +3.7154e-03 +1.4744e-02 +5.8391e-03 +1.0129e-02 +1.6935e-03 +1.9747e-02 +1.9897e-03 +1.6138e-02 +4.5850e-04 +2.0621e-02 +5.6850e-04 +2.2503e-03 +1.6585e-03 +5.1643e-04 +4.9903e-04 +2.9085e-02 +4.5518e-03 +1.4861e-02 +1.2842e-03 +9.0934e-04 +1.0461e-03 +5.9554e-03 +3.1394e-03 +8.0928e-03 +1.4631e-03 +6.1458e-03 +1.8982e-03 +8.8937e-03 +1.8208e-03 +8.3181e-03 +8.8854e-04 +2.0884e-03 +1.6545e-03 +9.3601e-03 +9.4109e-05 +2.0147e-03 +4.8205e-04 +1.2059e-03 +3.0074e-04 +7.1364e-03 +4.0151e-03 +1.1613e-02 +6.7853e-03 +4.2501e-03 +9.2415e-03 +7.5014e-03 +7.2033e-03 +3.1913e-03 +6.1038e-04 +1.7264e-02 +5.7206e-03 +2.4721e-04 +3.5942e-03 +1.2472e-02 +5.6154e-03 +1.9097e-02 +1.0452e-02 +2.5632e-02 +2.4974e-02 +4.0137e-02 +2.9991e-03 +2.9898e-02 +1.6642e-03 +7.2005e-03 +1.3386e-03 +1.3307e-02 +1.3509e-03 +9.5421e-03 +3.9549e-03 +1.4742e-02
-7.0262e+01 +3.5633e-04 +3.7081e-02 +1.4650e-02 +3.4229e-03 +7.8582e-03 +2.4253e-02 +1.4735e-03 +2.9448e-02 +4.9259e-04 +3.4385e-02 +3.2170e-03 +3.9590e-02 +5.4167e-03 +4.7845e-03 +6.1145e-03 +1.9798e-02 +5.2814e-03 +1.5225e-02 +3.5344e-03 +1.5727e-02 +1.3738e-03 +1.5133e-02 +3.1823e-04 +1.9585e-02 +1.0763e-04 +1.3654e-03 +2.0911e-03 +2.3140e-04 +1.9361e-04 +3.2834e-02 +7.6008e-03 +2.0494e-02 +9.1037e-04 +9.8130e-03 +2.3536e-03 +6.6901e-03 +3.4024e-03 +8.9063e-03 +1.2002e-03 +6.8131e-03 +2.8506e-03 +1.8736e-03 +2.5404e-03 +2.8029e-03 +2.0804e-04 +3.6549e-03 +1.8830e-03 +1.8667e-02 +3.2790e-04 +1.7623e-03 +1.3150e-03 +2.9989e-03 +1.0184e-03 +1.6875e-02 +4.7291e-03 +1.6172e-02 +9.4490e-03 +4.0783e-03 +1.3318e-02 +1.5107e-02 +6.5427e-03 +3.2094e-03 +1.4758e-03 +2.1737e-02 +7.7619e-03 +3.0649e-03 +4.5640e-03 +1.4987e-02 +7.2466e-03 +2.5640e-02 +1.3819e-02 +2.3274e-02 +2.8453e-02 +3.6102e-02 +4.2443e-04 +4.3005e-02 +2.9068e-03 +1.2183e-02 +4.5380e-03 +1.9618e-02 +2.9551e-03 +1.8499e-03 +5.2437e-03 +1.1859e-02
-6.8255e+01 +5.8066e-03 +2.8411e-02 +1.7005e-02 +2.0781e-02 +8.7063e-03 +4.6883e-02 +6.2816e-04 +3.8572e-02 +1.4633e-03 +4.6140e-02 +2.8896e-03 +3.4448e-02 +5.3950e-03 +7.7990e-03 +6.3467e-03 +3.3151e-02 +4.6068e-03 +2.4099e-02 +3.5747e-03 +2.4828e-02 +1.5010e-03 +1.7152e-02 +2.0369e-04 +2.4765e-02 +9.2748e-04 +5.6338e-03 +2.0237e-03 +1.2778e-02 +2.8413e-03 +3.2811e-02 +6.7735e-03 +2.7124e-02 +1.0507e-03 +5.3158e-03 +2.7774e-03 +1.0096e-02 +3.2067e-03 +1.0121e-02 +1.4699e-03 +5.3093e-03 +2.9334e-03 +4.7974e-03 +1.5896e-03 +1.8209e-04 +4.0800e-04 +9.1137e-03 +2.4536e-03 +1.6140e-02 +2.3069e-05 +1.2082e-02 +1.3580e-03 +2.7173e-03 +1.8153e-03 +1.9088e-02 +5.2437e-03 +1.8753e-02 +1.3786e-02 +7.4941e-03 +1.5338e-02 +1.4483e-02 +5.6807e-03 +4.5983e-03 +9.1762e-04 +1.7178e-02 +8.9209e-03 +3.5076e-03 +4.7338e-03 +1.4285e-02 +9.1159e-03 +2.5630e-02 +1.6263e-02 +2.1553e-02 +2.6148e-02 +4.2420e-02 +6.7388e-05 +3.8111e-02 +2.1093e-03 +2.0238e-02 +3.5902e-03 +2.9547e-02 +1.2594e-03 +1.9615e-03 +2.7477e-03 +3.2669e-02
-6.6248e+01 +6.1531e-03 +3.4572e-02 +1.7973e-02 +3.1191e-02 +1.0074e-02 +6.0705e-02 +6.3598e-04 +2.8441e-02 +1.5030e-03 +6.7636e-02 +8.7424e-04 +5.3486e-02 +7.6378e-03 +8.5420e-03 +9.3353e-03 +3.5914e-02 +4.9127e-03 +9.8363e-03 +5.8097e-03 +2.8900e-02 +1.8500e-03 +1.3527e-02 +6.0038e-04 +2.6609e-02 +5.7185e-04 +7.6519e-03 +1.5267e-03 +1.8059e-02 +5.4499e-03 +3.8298e-02 +6.0435e-03 +2.6824e-02 +1.5768e-03 +2.2088e-04 +2.8745e-03 +1.0860e-02 +3.4358e-03 +5.4098e-03 +1.7564e-03 +1.7771e-03 +3.4454e-03 +1.3094e-03 +3.2596e-04 +2.5711e-03 +4.3593e-04 +7.2578e-03 +3.4987e-03 +2.0633e-02 +6.5010e-04 +1.6973e-02 +2.6884e-03 +4.5317e-03 +1.8603e-03 +2.4667e-02 +6.6046e-03 +2.1877e-02 +8.3721e-03 +3.3267e-03 +1.5119e-02 +1.1503e-02 +6.8786e-03 +3.5676e-03 +1.4707e-03 +1.0214e-02 +1.0938e-02 +8.2667e-03 +7.9652e-03 +1.4514e-02 +1.1208e-02 +3.2039e-02 +2.0621e-02 +2.6414e-02 +2.4740e-02 +4.1797e-02 +2.2278e-03 +3.5947e-02 +2.0178e-03 +2.0566e-02 +4.6863e-03 +4.3424e-02 +4.5956e-04 +1.0945e-02 +1.7730e-03 +4.3870e-02
-6.4240e+01 +3.2289e-04 +2.2387e-02 +1.9544e-02 +2.6774e-02 +1.0013e-02 +5.3424e-02 +9.7622e-04 +3.9446e-02 +1.6545e-03 +6.6336e-02 +5.6998e-04 +7.1444e-02 +9.5009e-03 +3.0121e-03 +1.1187e-02 +5.2841e-02 +2.8681e-03 +3.0334e-03 +6.4388e-03 +3.5056e-02 +1.2508e-03 +1.2363e-02 +6.4080e-05 +3.1515e-02 +3.9517e-04 +3.8011e-03 +1.2239e-03 +1.4788e-02 +8.0556e-03 +3.5470e-02 +4.6593e-03 +2.1627e-02 +6.8339e-04 +7.2278e-03 +4.5223e-03 +1.4018e-02 +4.1343e-03 +6.9388e-03 +1.2297e-03 +6.5605e-03 +3.9675e-03 +9.0570e-03 +4.9220e-04 +1.4998e-03 +1.4347e-04 +3.5744e-03 +2.9059e-03 +3.2819e-02 +2.0162e-03 +2.3373e-02 +2.0784e-03 +8.9997e-03 +5.9815e-04 +2.0834e-02 +4.6998e-03 +3.3515e-02 +7.6052e-03 +4.9681e-03 +1.8241e-02 +1.3476e-02 +5.5759e-03 +1.1542e-02 +2.4217e-03 +4.5400e-03 +1.2712e-02 +6.1252e-03 +8.6470e-03 +1.5248e-02 +1.3526e-02 +2.6741e-02 +2.9460e-02 +3.7931e-02 +2.3836e-02 +4.3984e-02 +1.6581e-03 +3.6966e-02 +5.2877e-03 +1.2291e-02 +3.7009e-03 +4.2049e-02 +2.4376e-03 +4.0179e-04 +1.7499e-03 +3.5485e-02
-6.2233e+01 +3.0596e-03 +3.7364e-02 +1.8262e-02 +4.0503e-02 +1.1158e-02 +4.4013e-02 +3.1598e-03 +4.1348e-02 +1.9812e-03 +7.0190e-02 +7.2689e-05 +8.0024e-02 +1.0748e-02 +2.1365e-02 +9.4109e-03 +4.4425e-02 +5.2013e-03 +6.7310e-03 +5.7165e-03 +2.3330e-02 +1.1336e-03 +1.0401e-02 +1.3365e-03 +3.7214e-02 +5.5867e-04 +6.1681e-04 +9.0728e-04 +1.4009e-02 +9.6038e-03 +4.0059e-02 +6.8217e-04 +1.6444e-02 +1.1148e-03 +5.4012e-03 +4.5287e-03 +1.2764e-02 +4.2141e-03 +6.8806e-03 +1.1086e-03 +1.4172e-03 +3.9080e-03 +6.4329e-03 +4.8561e-04 +3.0103e-02 +2.4066e-03 +2.8044e-03 +4.2983e-03 +2.1378e-02 +2.2332e-03 +2.8176e-02 +2.4802e-03 +8.6158e-03 +1.7804e-03 +2.1400e-02 +5.3279e-03 +3.0244e-02 +1.0425e-02 +2.7132e-03 +1.9771e-02 +1.3598e-02 +3.5394e-03 +1.8433e-02 +3.0802e-03 +9.8600e-03 +1.5411e-02 +7.9522e-03 +9.0263e-03 +8.0967e-03 +1.4752e-02 +2.1063e-02 +3.0083e-02 +2.6906e-02 +1.6824e-02 +4.5989e-02 +5.3950e-03 +2.5702e-02 +1.3008e-03 +1.4749e-02 +4.5721e-04 +5.8211e-02 +5.2431e-03 +2.6267e-03 +2.2276e-05 +4.3071e-02
-6.0225e+01 +8.6700e-04 +1.7665e-02 +1.8838e-02 +4.2211e-02 +8.2496e-03 +5.8444e-02 +6.4281e-04 +3.7281e-02 +9.7496e-04 +8.3731e-02 +4.4366e-04 +5.8067e-02 +1.2773e-02 +2.3634e-02 +7.8091e-03 +3.9420e-02 +7.9943e-03 +1.3844e-03 +6.8258e-03 +1.6490e-02 +9.0133e-04 +6.4651e-03 +1.7137e-03 +3.6163e-02 +8.8199e-04 +1.3577e-02 +1.1049e-03 +1.9125e-02 +9.1841e-03 +3.5873e-02 +6.3873e-04 +2.4397e-02 +5.5579e-04 +2.9853e-03 +3.9670e-03 +1.3778e-02 +4.0737e-03 +8.7674e-03 +9.5249e-04 +3.1018e-04 +4.4481e-03 +1.5833e-02 +4.0345e-03 +2.1670e-02 +2.1509e-03 +4.2143e-03 +4.8011e-03 +1.8619e-02 +3.3878e-03 +1.8202e-02 +1.8983e-03 +1.0958e-02 +2.5142e-03 +1.9683e-02 +5.0331e-03 +2.6783e-02 +1.1106e-02 +6.0589e-03 +2.1471e-02 +1.7129e-02 +5.1883e-03 +2.2715e-02 +4.2805e-03 +6.2297e-03 +1.6314e-02 +4.5269e-04 +8.5002e-03 +1.2443e-03 +1.4201e-02 +3.7564e-02 +2.6933e-02 +4.0121e-02 +1.2109e-02 +4.8426e-02 +1.0590e-02 +2.7024e-02 +1.3821e-03 +1.6821e-02 +8.0692e-04 +6.7734e-02 +5.1551e-03 +1.1574e-02 +4.6925e-04 +3.7314e-02
