y,f
-0.55000,+161.997
-0.54447,+159.013
-0.53894,+155.976
-0.53342,+152.887
-0.52789,+149.747
-0.52236,+146.558
-0.51683,+143.319
-0.51131,+140.033
-0.50578,+136.700
-0.50025,+133.322
-0.49472,+129.900
-0.48920,+126.434
-0.48367,+122.926
-0.47814,+119.377
-0.47261,+115.789
-0.46709,+112.162
-0.46156,+108.497
-0.45603,+104.797
-0.45050,+101.062
-0.44497, +97.293
-0.43945, +93.491
-0.43392, +89.659
-0.42839, +85.797
-0.42286, +81.906
-0.41734, +77.988
-0.41181, +74.044
-0.40628, +70.075
-0.40075, +66.083
-0.39523, +62.070
-0.38970, +58.035
-0.38417, +53.981
-0.37864, +49.909
-0.37312, +45.821
-0.36759, +41.717
-0.36206, +37.600
-0.35653, +33.469
-0.35101, +29.328
-0.34548, +25.177
-0.33995, +21.018
-0.33442, +16.852
-0.32889, +12.680
-0.32337,  +8.503
-0.31784,  +4.324
-0.31231,  +0.144
-0.30678,  +4.037
-0.30126,  +8.216
-0.29573, +12.392
-0.29020, +16.564
-0.28467, +20.731
-0.27915, +24.891
-0.27362, +29.043
-0.26809, +33.185
-0.26256, +37.315
-0.25704, +41.434
-0.25151, +45.539
-0.24598, +49.628
-0.24045, +53.701
-0.23492, +57.756
-0.22940, +61.792
-0.22387, +65.808
-0.21834, +69.801
-0.21281, +73.771
-0.20729, +77.717
-0.20176, +81.637
-0.19623, +85.530
-0.19070, +89.394
-0.18518, +93.228
-0.17965, +97.032
-0.17412,+100.803
-0.16859,+104.541
-0.16307,+108.244
-0.15754,+111.910
-0.15201,+115.540
-0.14648,+119.131
-0.14095,+122.683
-0.13543,+126.193
-0.12990,+129.662
-0.12437,+133.088
-0.11884,+136.469
-0.11332,+139.805
-0.10779,+143.094
-0.10226,+146.336
-0.09673,+149.529
-0.09121,+152.672
-0.08568,+155.765
-0.08015,+158.806
-0.07462,+161.793
-0.06910,+164.727
-0.06357,+167.607
-0.05804,+170.430
-0.05251,+173.197
-0.04698,+175.906
-0.04146,+178.556
-0.03593,+181.148
-0.03040,+183.679
-0.02487,+186.148
-0.01935,+188.556
-0.01382,+190.901
-0.00829,+193.183
-0.00276,+195.400
+0.00276,+197.552
+0.00829,+199.639
+0.01382,+201.659
+0.01935,+203.612
+0.02487,+205.497
+0.03040,+207.314
+0.03593,+209.062
+0.04146,+210.740
+0.04698,+212.349
+0.05251,+213.886
+0.05804,+215.353
+0.06357,+216.747
+0.06910,+218.070
+0.07462,+219.320
+0.08015,+220.497
+0.08568,+221.601
+0.09121,+222.631
+0.09673,+223.587
+0.10226,+224.468
+0.10779,+225.275
+0.11332,+226.007
+0.11884,+226.664
+0.12437,+227.245
+0.12990,+227.751
+0.13543,+228.181
+0.14095,+228.535
+0.14648,+228.812
+0.15201,+229.014
+0.15754,+229.140
+0.16307,+229.189
+0.16859,+229.162
+0.17412,+229.059
+0.17965,+228.880
+0.18518,+228.624
+0.19070,+228.293
+0.19623,+227.885
+0.20176,+227.402
+0.20729,+226.843
+0.21281,+226.208
+0.21834,+225.498
+0.22387,+224.713
+0.22940,+223.854
+0.23492,+222.920
+0.24045,+221.911
+0.24598,+220.829
+0.25151,+219.674
+0.25704,+218.445
+0.26256,+217.144
+0.26809,+215.770
+0.27362,+214.325
+0.27915,+212.808
+0.28467,+211.220
+0.29020,+209.563
+0.29573,+207.835
+0.30126,+206.038
+0.30678,+204.173
+0.31231,+202.240
+0.31784,+200.240
+0.32337,+198.172
+0.32889,+196.039
+0.33442,+193.841
+0.33995,+191.578
+0.34548,+189.252
+0.35101,+186.862
+0.35653,+184.411
+0.36206,+181.898
+0.36759,+179.324
+0.37312,+176.691
+0.37864,+173.999
+0.38417,+171.249
+0.38970,+168.442
+0.39523,+165.579
+0.40075,+162.661
+0.40628,+159.689
+0.41181,+156.664
+0.41734,+153.587
+0.42286,+150.458
+0.42839,+147.280
+0.43392,+144.052
+0.43945,+140.777
+0.44497,+137.454
+0.45050,+134.086
+0.45603,+130.674
+0.46156,+127.217
+0.46709,+123.719
+0.47261,+120.179
+0.47814,+116.600
+0.48367,+112.981
+0.48920,+109.325
+0.49472,+105.633
+0.50025,+101.905
+0.50578, +98.144
+0.51131, +94.350
+0.51683, +90.524
+0.52236, +86.669
+0.52789, +82.784
+0.53342, +78.872
+0.53894, +74.934
+0.54447, +70.971
+0.55000, +66.984
